DATE,INV,GDP,CONS,UN1,UN2
01/01/48,262.632,1989.5,1229.8,3.7,
01/04/48,278.885,2021.9,1244.1,3.7,
01/07/48,281.741,2033.2,1245.9,3.8,
01/10/48,268.267,2035.3,1255.8,3.8,
01/01/49,228.041,2007.5,1257.9,4.7,
01/04/49,197.725,2000.8,1277.1,5.9,
01/07/49,214.117,2022.8,1280,6.7,
01/10/49,203.585,2004.7,1298.8,7,
01/01/50,251.917,2084.6,1320.4,6.4,
01/04/50,278.877,2147.6,1342.1,5.6,
01/07/50,302.85,2230.4,1411,4.6,
01/10/50,341.332,2273.4,1368.4,4.2,
01/01/51,306.454,2304.5,1401.5,3.5,
01/04/51,313.558,2344.5,1361.9,3.1,
01/07/51,290.47,2392.8,1377.7,3.2,
01/10/51,267.326,2398.1,1385.8,3.4,
01/01/52,274.301,2423.5,1388.9,3.1,
01/04/52,253.621,2428.5,1416.1,3,
01/07/52,267.217,2446.1,1423,3.2,
01/10/52,286.467,2526.4,1473.3,2.8,
01/01/53,292.632,2573.4,1490.8,2.7,
01/04/53,294.299,2593.5,1499.8,2.6,
01/07/53,288.145,2578.9,1496.3,2.7,
01/10/53,267.328,2539.8,1486.4,3.7,
01/01/54,265.414,2528,1491.8,5.3,
01/04/54,264.787,2530.7,1511.3,5.8,
01/07/54,277.56,2559.4,1531.8,6,
01/10/54,289.723,2609.3,1564,5.3,
01/01/55,318.651,2683.8,1599.1,4.7,5.61020939604670
01/04/55,337.941,2727.5,1629.7,4.4,4.57864616630772
01/07/55,343.122,2764.1,1649.8,4.1,3.85010930495020
01/10/55,351.08,2780.8,1670.5,4.2,3.73355906236718
01/01/56,341.063,2770,1673.2,4,4.79262142167379
01/04/56,338.385,2792.9,1678.8,4.2,4.39026324485158
01/07/56,335.358,2790.6,1682.6,4.1,3.86605167734328
01/10/56,332.248,2836.2,1705.8,4.1,3.70877902518612
01/01/57,327.088,2854.5,1717.5,3.9,4.66829653473718
01/04/57,326.755,2848.2,1720.5,4.1,4.21723308651825
01/07/57,334.246,2875.9,1734.1,4.2,3.91471724864261
01/10/57,308.547,2846.4,1734.9,4.9,4.47434024369785
01/01/58,287.7,2772.7,1711.1,6.3,7.53309194574054
01/04/58,281.906,2790.9,1725.1,7.4,7.55961616335966
01/07/58,303.543,2855.5,1753.5,7.3,6.79144273093165
01/10/58,329.424,2922.3,1777.1,6.4,5.72822681093444
01/01/59,347.373,2976.6,1809.4,5.8,6.87652590596291
01/04/59,374.394,3049,1837.3,5.1,5.22477480638325
01/07/59,350.215,3043.1,1856.5,5.3,4.94563102086426
01/10/59,361.612,3055.1,1858.6,5.6,5.09895180956249
01/01/60,397.964,3123.2,1876.3,5.1,6.05269122556885
01/04/60,360.873,3111.3,1900.1,5.2,5.38173567832893
01/07/60,359.955,3119.1,1892.5,5.5,5.24262688113066
01/10/60,320.079,3081.3,1894.9,6.3,5.79140506013657
01/01/61,328.386,3102.3,1894.4,6.8,7.98772601249578
01/04/61,351.395,3159.9,1922.6,7,7.06224298882872
01/07/61,378.713,3212.6,1932,6.8,6.34910194743658
01/10/61,384.98,3277.7,1970.7,6.2,5.68201237320633
01/01/62,405.737,3336.8,1991.7,5.6,6.53609578443112
01/04/62,402.536,3372.7,2016.1,5.5,5.53574870971555
01/07/62,409.376,3404.8,2032.5,5.6,5.24054533601733
01/10/62,397.4,3418,2061.3,5.5,5.07245199470709
01/01/63,418.307,3456.1,2075.2,5.8,6.67044902587161
01/04/63,424.962,3501.1,2095.1,5.7,5.84418461625814
01/07/63,438.047,3569.5,2123.7,5.5,5.29076842390717
01/10/63,443.366,3595,2141.4,5.6,5.15110040482757
