"t","Exp1Run1","Exp1Run10","Exp1Run11","Exp1Run12","Exp1Run13","Exp1Run14","Exp1Run15","Exp1Run16","Exp1Run17","Exp1Run18","Exp1Run19","Exp1Run2","Exp1Run20","Exp1Run21","Exp1Run22","Exp1Run23","Exp1Run24","Exp1Run25","Exp1Run26","Exp1Run27","Exp1Run28","Exp1Run29","Exp1Run3","Exp1Run30","Exp1Run31","Exp1Run32","Exp1Run33","Exp1Run34","Exp1Run35","Exp1Run36","Exp1Run37","Exp1Run38","Exp1Run39","Exp1Run4","Exp1Run40","Exp1Run41","Exp1Run42","Exp1Run43","Exp1Run44","Exp1Run45","Exp1Run46","Exp1Run47","Exp1Run48","Exp1Run49","Exp1Run5","Exp1Run50","Exp1Run51","Exp1Run52","Exp1Run53","Exp1Run54","Exp1Run55","Exp1Run56","Exp1Run57","Exp1Run58","Exp1Run59","Exp1Run6","Exp1Run60","Exp1Run61","Exp1Run62","Exp1Run63","Exp1Run64","Exp1Run65","Exp1Run66","Exp1Run67","Exp1Run68","Exp1Run69","Exp1Run7","Exp1Run70","Exp1Run71","Exp1Run72","Exp1Run73","Exp1Run74","Exp1Run75","Exp1Run76","Exp1Run77","Exp1Run78","Exp1Run79","Exp1Run8","Exp1Run80","Exp1Run81","Exp1Run82","Exp1Run83","Exp1Run84","Exp1Run85","Exp1Run86","Exp1Run87","Exp1Run88","Exp1Run89","Exp1Run9","Exp1Run90","Exp1Run91","Exp1Run92","Exp1Run93","Exp1Run94","Exp1Run95","Exp1Run96","Exp1Run97","Exp1Run98","Exp1Run99"
1,0.00750845410530664,0.00749421242211028,0.00749828205008545,0.00752967928666386,0.00749885079441987,0.00749766229811724,0.00751181779648472,0.00746132062687902,0.00749829465659675,0.00749417436873497,0.00746976086290673,0.00747535949228777,0.00747141697760334,0.00750785470664287,0.00748615496887824,0.00748571674147432,0.00746286632210638,0.00750766186296069,0.00754987897899563,0.0074664934799365,0.00749409813522751,0.00749059903927627,0.00750049391953366,0.00750315494579952,0.00750170273669449,0.00749681999187704,0.00750529740255207,0.00751469094969188,0.00749224500504724,0.00750426702194077,0.0075051845971348,0.00747870367362442,0.00750434992122811,0.0074947054157307,0.00746595513688192,0.00751757430685156,0.00747754482202115,0.00749307026434434,0.00750761029561508,0.00750589711035174,0.00746256739284868,0.00749064449958646,0.00747364206914627,0.00747151194956087,0.00749202750758277,0.0075116591574832,0.00748140398927398,0.00745803720041715,0.00751651372709471,0.00749364304823118,0.00747228330399117,0.00748209225186762,0.00750394969301784,0.00747566924191448,0.00750269804646604,0.00748586728218115,0.0075130228767081,0.0075155442760738,0.00743902275155424,0.00751541022210206,0.00750241716058713,0.00749867121542736,0.00748622545675831,0.00749400645123255,0.00746769593154291,0.00748354973007251,0.00748369003588561,0.00749490066671579,0.00749927111642119,0.00748542010796041,0.00750488033875388,0.00749075999402967,0.00747795567361664,0.00749852397427606,0.00752629071613117,0.00747749498309003,0.00747003315260301,0.00749160522130787,0.00749321985540972,0.0074980974809605,0.00751435073622056,0.00750324718971656,0.00750606614726415,0.00749186292646039,0.00747121685096168,0.00749768650292051,0.00747580577280684,0.0075039489913317,0.00750377820313983,0.00755657356704125,0.00750980629009232,0.00750358470009168,0.0074782067759667,0.00749046282979405,0.0074945412946849,0.00750349683573234,0.00749687700932249,0.0074872641345255,0.00749891471500458
2,0.00748467444423669,0.0075055105853059,0.0075006665876128,0.00759240468465053,0.00750765684297476,0.00750455730249084,0.00756448243061418,0.00746701479356659,0.00750621408099005,0.00753211148243975,0.00748789907493486,0.00746429577953821,0.00750262915276787,0.00752871082608302,0.0074960476450473,0.00750994154326527,0.00747732990547037,0.00753137973291121,0.00754191650107222,0.00749869868230601,0.00750716185325181,0.0075019291395652,0.00752784885865662,0.0075451914928171,0.00751229990613049,0.00755357794071239,0.00751669493237836,0.00754157446637405,0.00753683667790551,0.0075173788686572,0.00752565690753723,0.00750570155046725,0.00756451102340836,0.00750689292280685,0.00745236590919652,0.0075631802240551,0.00746872193220244,0.00753806150627496,0.00751847562931603,0.00750771986654,0.00749562962524883,0.00752035274886171,0.00750615701759732,0.00746088339407451,0.0074965645190136,0.00751843973898722,0.00749256877793627,0.00747253506678531,0.00755311495900771,0.00748061966399294,0.0075036754242935,0.00750974412817339,0.00749934454636909,0.00746808687999034,0.00751358885880188,0.00750658457702567,0.00756530085557273,0.00751792188663905,0.00744212927496517,0.00755731540207237,0.00751599568881707,0.00752863759824152,0.00751654911488989,0.00748955020509861,0.00747859607658682,0.00752536168165766,0.00748109387708203,0.00751110255678598,0.00753286193866879,0.00750613577566677,0.00751571925278701,0.00755650135700442,0.00751502012009041,0.0075374133389791,0.00756920670616461,0.00749819436578781,0.00748775660653133,0.00751039243949406,0.00753829570403307,0.00750124559568759,0.00754625565469636,0.00752285421642068,0.00755269359575644,0.00749076394709592,0.0074557185597221,0.00751106256283126,0.00749510650053252,0.00752965334958646,0.00750768228596404,0.00760115516666938,0.00752740462028403,0.00752774203438804,0.00749874258481182,0.00749364161156767,0.00753911720844591,0.00752480577536246,0.007544309470284,0.00753652146497452,0.00751013068684171
3,0.00748549230646596,0.00753242594523801,0.00749053468533352,0.00759782718808989,0.00752117710415802,0.00748521056198399,0.00757697002187813,0.00747298341695406,0.00751092896923389,0.00753058997896057,0.00747814249293143,0.00747504123032618,0.00748155399101236,0.00753965431329707,0.00752236410353123,0.00752046227713684,0.00746526507458224,0.00752422108447637,0.00752284300090921,0.00750111543996897,0.00752857857503549,0.00748084005476823,0.00750756827479782,0.00754705066923814,0.00750461266966361,0.00753504425547161,0.00751193197383971,0.00758999874104719,0.00754203416586081,0.00751429099354637,0.00756405715913604,0.00752313230167864,0.00756379760175424,0.00751284536063529,0.00741834266672937,0.00754803930148818,0.0074439108579405,0.00750838763164677,0.00752530212367483,0.00751163660639612,0.00746475000687264,0.00752045530441248,0.00747066735271023,0.00747716090288019,0.00750773929141726,0.00750751879331565,0.00750469671584668,0.00746526501140881,0.00755313428679803,0.00747842035913943,0.00749420574386059,0.00749194007147239,0.0074998889404931,0.00741269061434865,0.00749032171717304,0.00747236215757054,0.0075954065528494,0.00753572426022757,0.00741362951367312,0.00754231295585936,0.00752109882903437,0.00749560232985001,0.00748537400034099,0.00751357517501874,0.00744165648739529,0.00752678935424917,0.0075041847476062,0.00755149682192941,0.00750479176726054,0.0075130420065767,0.00750137995637376,0.00758965639682841,0.00756760201379483,0.00750375995595671,0.00757681802932915,0.00750941859425541,0.00748486713760319,0.00749924582001763,0.00751481435276597,0.0074903013520395,0.00750271036263529,0.00752779554672426,0.00753970446301859,0.00748238669292329,0.00741347818133159,0.00751400808597375,0.00750764138435063,0.00752861214864416,0.007467008203878,0.00762355185487623,0.00753977437586227,0.00753081895696181,0.00746557647250599,0.00748404785144366,0.00755664812548376,0.00752786060536669,0.00754367221912355,0.00754852324467296,0.00749467963529199
4,0.00746283700675277,0.00749205014493609,0.00748967693944245,0.00759769830993165,0.00746387878901182,0.00750446293871903,0.00758075285921351,0.00746798649425705,0.00752119848987189,0.00753519415728122,0.00745636757982325,0.00742716810749819,0.00743462139360722,0.00755943277657451,0.0075281287101964,0.00753990785047919,0.00741932524683399,0.00755667674193949,0.0075256512455001,0.00750348043626418,0.00752193116601687,0.00742909668927623,0.00750650710859853,0.00760120645212181,0.00751091679862543,0.0075351898082359,0.00745621686121924,0.00761954756107468,0.00754453659139074,0.007554027313837,0.00755447752923898,0.00752467211004718,0.00755344433096593,0.00744660632110536,0.00738738361903288,0.00749303876158107,0.00746952031702564,0.00749567694742256,0.00751143127784528,0.00750493420923219,0.00747270306012503,0.00753597178622484,0.0074560594676903,0.00746408792457978,0.00749311676790058,0.00742978571442337,0.00753919479546078,0.00743733769900759,0.00758222455516594,0.00751976634152462,0.0075139043109267,0.00747905888006054,0.00749360401054144,0.00738546466205418,0.00751217432058915,0.00745983606531904,0.00759679439752834,0.00756058371106507,0.00737028166886499,0.00758243654393733,0.00755301607546953,0.00748840859095068,0.00741273620505637,0.00753671261331791,0.00743268390831376,0.00746274096380354,0.00750559428602844,0.00753399359567231,0.00750351622267762,0.00754235694133416,0.00750367000443397,0.00759548553004218,0.00762656971017904,0.00754700785265598,0.00755744664193967,0.00754255838387283,0.00751397928874284,0.00745356081051621,0.0075146049144638,0.00750748735818864,0.00749122607480653,0.00754974089010867,0.00748862918727928,0.00748739172141658,0.00737630463624813,0.00752626861786937,0.00757365309757788,0.00752904695110473,0.00742987066039501,0.00762886040434247,0.00754027535143033,0.00751590286209779,0.00748251726999258,0.00747072684794301,0.007511688728042,0.00753620775666484,0.00755524899318961,0.00752972572942922,0.00753369188181835
5,0.00747994567704247,0.00754112269742445,0.00752073299751959,0.00764616973646355,0.00746105427422279,0.00746387868227,NA,0.00735722909756806,0.00756164561299953,0.0074773736135691,0.00749245201127515,NA,NA,0.00755869766034159,0.00759604422983401,0.00750230068129241,0.00748481394165321,0.00747366699984878,0.00749222261770277,0.00747084123240924,0.00752927755980123,0.00742478217763978,0.00750487519852404,0.0074806880127963,0.00737701473605618,0.0074299074672165,0.00743467438592967,NA,0.0074844543095262,0.00748278467949059,NA,0.00744921527860966,NA,0.00748194420136983,0.00729365603528635,0.00751372752418835,0.0074462694338061,0.00758292434112182,0.00741608772697213,NA,0.00747391647905256,0.00750335701106553,0.00745748819170302,0.00740193245179508,0.00747653426937506,0.00738681105244405,0.00749151335142455,0.00747561817547168,0.00756339897801959,NA,0.00755643944765912,0.00744208083996654,0.00746341920043555,0.00734696820680434,0.00735824240177878,NA,0.00757950135305069,0.00758426618847813,0.00737344043673256,NA,0.00749299612654498,0.00751188494071363,0.00741485934030564,0.00741344617919008,0.00738408229855545,0.00740971585387017,0.00746868394857357,0.00743320905762479,0.00746682818437163,0.00751375620032383,0.00751486672640866,0.00764482970783237,0.00749729545189124,0.00744961350622417,0.00751982455956734,0.00751468379040678,0.00752348812558233,0.00745622294213517,0.00745778039937089,0.00746880179251076,0.00748908940504725,0.00749711061161533,0.00738864424764017,0.00746479087267753,0.00735639747008294,0.00745444399740049,0.00745789931969102,0.00742786345019638,0.00746605965029438,0.00756749079064838,0.00753790525183157,NA,NA,0.00737938121377228,0.00741886316024869,0.00750988839212653,0.00744748156259523,0.00748058445364644,0.00755459012821249
6,0.00749055479829514,0.00747034384822473,0.00747064381053747,0.00750623553879416,0.00746612954776199,0.00747051419922584,0.00748830605000917,0.00739062963008204,0.00748034837745988,0.00739588833650099,0.00749605211188012,0.00740283354714732,0.00751711328307079,0.00755250823112634,0.0074990520702395,0.00752523674279377,0.00743465621219938,0.00748615800535903,0.00753316751177477,0.00746789815035313,0.0075025524604179,0.00740000164336222,0.00749791151855926,0.00750184842780731,0.00745060970338438,0.00747932183048771,0.00749750450543431,0.00761397287947926,0.00746303085098032,0.00743136869754931,0.00753801421364971,0.00747930221680643,0.007458678760143,0.00749236701120781,0.00738154440327105,0.00748404438606162,0.00739467611579387,0.00752514064534725,0.00745228004532354,0.00747872387537851,0.00744741824619199,0.0074893387195795,0.00746828890968465,0.00739346188082387,0.00741303820493694,0.00748518556465905,0.00757589247742013,0.007458550200074,0.00756966368666658,0.00747082157918008,0.0075514585509978,0.00744454838337022,0.00744378104543097,0.00734182866684517,0.00743436736218638,0.00744037334184087,0.00757363718800026,0.00751565066806033,0.00737391896402751,0.00747443890003176,0.00751178497663858,0.0074555983411848,0.00739073247612574,0.00752135148072099,0.00743087601102198,0.00742616206508363,0.00747766587391293,0.00750303943235672,0.00745535408351818,0.00752287427365162,0.00742196699927627,0.00759032398279297,0.00757255065188546,0.00752291557875574,0.00749689456495039,0.00739365303113077,0.00747980654994883,0.0074813000955948,0.00749987042173591,0.00751821009983153,0.00748151018204397,0.00749126967076564,0.00746953255091937,0.00747965590470611,0.00733127407236806,0.00745277626799973,0.00749153819871464,0.00742356867370939,0.00744702604393308,0.00760002807519955,0.0074924725284035,0.00752275600492463,0.00739886295735057,0.00741300540079238,0.00749469098609278,0.00753330403169135,0.00745186655368722,0.00746875143557571,0.00747972826322441
7,0.00751457523102241,0.0075454708208566,0.0074953240294324,0.0075645517951177,0.00755936785031641,0.00749593063420342,0.00762010025221066,0.00739159834566942,0.0075194644944735,0.00748296782673916,0.00744628600098513,0.00748657047254911,0.00748112131488194,0.00764167256647869,0.00752141060842279,0.00752684193242955,0.0074385773968006,0.00752069639061831,0.00756452531780265,0.00751008640760232,0.00757090560975852,0.00751978931413293,0.00750795654461815,0.00752784568033498,0.00749495812037586,0.00753921590487869,0.00758603056192117,0.00769529964186933,0.00748413283489566,0.00750116520429938,0.0075409305656123,0.00743287979983597,0.00749465326378529,0.00742570093462687,0.00734932950073096,0.00754021228279878,0.00745725097290351,0.00748763012301556,0.00746537893594431,0.00748018166770217,0.00747201040007608,0.00756474058574024,0.00752443398030485,0.00745203013184866,0.00750565514097657,0.0074827248315862,0.0076426802277726,0.00747109243210723,0.00762225096462992,0.00751907383316602,0.00760963027504257,0.00747986471971757,0.00752610186358821,0.00739605464492238,0.00750111302312995,0.00750314483028824,0.00759757412895477,0.00758382714814434,0.00740125578758892,0.00749674320250387,0.00752854011969632,0.00748872481558668,0.0074530211514919,0.00754890062151894,0.00739878229763906,0.00740423007740276,0.0075288019960897,0.0075293343589934,0.00747918338354836,0.00747892797443569,0.00752801348197982,0.0075785026515186,0.00758056981505782,0.00753495863757831,0.00751027982880581,0.00743697528825439,0.00747584309335647,0.00748628121371156,0.0074839197170247,0.00750884435457812,0.0075046358326069,0.00757327011311491,0.00750042811443393,0.00747168816911754,0.00736765850849558,0.00749858991585468,0.00757798854034346,0.00752700334536648,0.00744278559147486,0.00764364797804725,0.00750442893031525,0.00758169014070268,0.00738144596367549,0.00746834132784655,0.00751027289840805,0.00752339182374009,0.00747189324123814,0.00748771192706591,0.00752370229941874
8,0.00748863221590142,0.00751984140549665,0.0074839036551491,0.00751971632106536,0.00749629615264579,0.00747620571065569,0.00755672069774952,0.00738051486926441,0.00749869899335468,0.00747215184114765,0.00742531559909994,0.00744316277399529,0.00745828669624702,0.00761091323896108,0.00751017899497861,0.00752598002648028,0.00740703015309522,0.00748043296746227,0.00756022640561546,0.00750106127403271,0.00753198338689525,0.00743641630610269,0.00746950283081773,0.00752705504522186,0.0074462229211279,0.00746959439040767,0.00749105558735245,0.00763750061465985,0.00746355154784128,0.00743153132698859,0.00749449123287574,0.00743990349214239,0.00749214804034231,0.00740406636278068,0.00737003695208716,0.00752607294740787,0.00740949456255338,0.00747347256769297,0.00744388809944513,0.00751316134321179,0.00751540298894774,0.00751961816833409,0.00748239656046715,0.00740209119202982,0.00745791978988146,0.00741894734815062,0.00756303566343388,0.00747273540808674,0.00753792237620568,0.00740363466881083,0.00761386940912502,0.00749105098078851,0.00748970563936158,0.00736381438141984,0.00745466985988444,0.00743412885697608,0.00759869433428324,0.0075740751614553,0.00733944216778249,0.00751348199953346,0.00748108350894258,0.0074777167864024,0.00742102469347382,0.00752584508213254,0.00740468848393519,0.00739842359389519,0.00749474137058948,0.00748735733692761,0.00748101707097245,0.00746018859614519,0.00742236231656199,0.00758820356192923,0.0075582323319356,0.00755391563188202,0.00750568923792609,0.00736526397343101,0.0074658061719073,0.007519408815503,0.00751872297583907,0.00749174163940103,0.00750442957072143,0.00752236409378434,0.00746447761904735,0.00745440636953171,0.0073393684538355,0.00751658716779048,0.00753846418651862,0.00744385570797459,0.00744496102998134,0.0076201495621076,0.00749811112844714,0.00757988620248828,0.00737407664946852,0.00740789654365666,0.00747535460384818,0.00751420439955615,0.00741961265700709,0.00745033507088611,0.0075365451338822
9,0.00750968506663614,0.00754937041533744,0.00750899492580866,0.00753542006253195,0.00752843198832164,0.00754540616081787,0.00760997276314212,0.00743508012526361,0.00753051510902024,0.00748773368155996,0.00751200257858363,0.00742868529406196,0.00748140304647625,0.00762885034097637,0.0075673630107475,0.00753211673440153,0.00746248975631411,0.00757919612489935,0.00759085521928051,0.00750042976822276,0.00757477354394248,0.00744202643727534,0.00750454335167578,0.00753967746560428,0.00747890674990183,0.00751601841894533,0.0075442332619614,0.00765535367296007,0.00747232774349202,0.00751391784941636,0.00754346034436061,0.00745887555219877,0.00756020354688102,0.00744973477932837,0.00739373528421504,0.00758531990994006,0.00749660043458958,0.00752139666611911,0.00747969388397205,0.00750907249535106,0.00751749206807596,0.00755055739735612,0.00748672080207356,0.00742321381777146,0.00751003769625863,0.0074417834584685,0.007622076260381,0.00748416283048927,0.00755233081696587,0.00750392425660923,0.00761759188684286,0.00751885759762412,0.0075312784162571,0.00737815684673545,0.00749718238356697,0.00750683601859932,0.00761537608875073,0.00757220327649917,0.00738468892512409,0.00754328468650234,0.00757294459509553,0.00751259136721234,0.00744983751387081,0.0076106186494949,0.00742336435062619,0.00744684824674641,0.007527126557213,0.00749338932648708,0.00753434198801225,0.00753982316633478,0.0075033580799282,0.00761646104529628,0.00758287323286364,0.00757527369566696,0.00755942858122102,0.0074285137079108,0.00752340114400032,0.00754220764026588,0.00755724130978982,0.00754769078887861,0.00752749911490672,0.00750814856662743,0.00750761012267607,0.00751460306963766,0.00737970525064027,0.00752664153525034,0.00760394736308547,0.00751723026564837,0.00749793911245561,0.00765077021269763,0.00756443011381541,0.00753360629984758,0.00744607918574866,0.00749507844892645,0.00754720256414621,0.00756687115637795,0.00750469462587707,0.00749496482364606,0.00755560056915449
10,0.00751457562260394,0.00757199851283212,0.00750763087085153,0.00752242309264844,0.0075433927477833,0.00754126012067496,0.0076273278929994,0.00741973670792383,0.00751993624592723,0.00750265957675342,0.00750250146016162,0.00747964447485425,0.00749725603937131,0.00762206031345403,0.00754099260547278,0.00750473666300656,0.00743431671871104,0.00756852308833502,0.00756765183682071,0.00750209031144448,0.00754858854250941,0.00747472153612918,0.00747514212774621,0.00750857427507126,0.00748426776770414,0.00753398405871485,0.00752401737956172,0.00767861341759211,0.0074864571914241,0.0075112777122136,0.00754669790274071,0.00742364483568954,0.00756501047324732,0.00747416394901596,0.00738453006688162,0.00762868809784055,0.00747033623750409,0.00750968910108918,0.0074768931127637,0.007463319262625,0.00748349749156531,0.00758209932701201,0.00753988698899822,0.00739158986025988,0.00752533995741746,0.00747503225055957,0.00757287533639396,0.0075163212985891,0.00751893030990688,0.00749468236068766,0.00762101634451799,0.00747837503741993,0.0075489877622949,0.00739020312769333,0.00748345158459079,0.00752263960754937,0.00759478295971029,0.0075647299707191,0.00739517691433773,0.00755749856772616,0.00754942312130708,0.00747794052191714,0.00747282569574722,0.00767850731029553,0.0074182395586743,0.00742733922508372,0.00755132491235096,0.00750276003718843,0.00752506464026009,0.00755432785719602,0.00752134681434479,0.00762427370424178,0.00755449775672555,0.00759981811713153,0.00759900439372952,0.00743682512074523,0.00754241251225507,0.00754232553568197,0.00756735191589982,0.00751093389995728,0.00752677701176654,0.00756061400561889,0.00747215772677273,0.0074972056784156,0.00733013727263201,0.00753077334852171,0.0076121128766447,0.00751878174475615,0.00748804893796933,0.00765669847185472,0.00756775343898337,0.00754868001438305,0.00744843232486051,0.00745865383070532,0.00752324663863031,0.00756114899618153,0.00748746562777959,0.00752763812156352,0.00757751942941776
