"t","Exp1Run1","Exp1Run10","Exp1Run11","Exp1Run12","Exp1Run13","Exp1Run14","Exp1Run15","Exp1Run16","Exp1Run17","Exp1Run18","Exp1Run19","Exp1Run2","Exp1Run20","Exp1Run21","Exp1Run22","Exp1Run23","Exp1Run24","Exp1Run25","Exp1Run26","Exp1Run27","Exp1Run28","Exp1Run29","Exp1Run3","Exp1Run30","Exp1Run31","Exp1Run32","Exp1Run33","Exp1Run34","Exp1Run35","Exp1Run36","Exp1Run37","Exp1Run38","Exp1Run39","Exp1Run4","Exp1Run40","Exp1Run41","Exp1Run42","Exp1Run43","Exp1Run44","Exp1Run45","Exp1Run46","Exp1Run47","Exp1Run48","Exp1Run49","Exp1Run5","Exp1Run50","Exp1Run51","Exp1Run52","Exp1Run53","Exp1Run54","Exp1Run55","Exp1Run56","Exp1Run57","Exp1Run58","Exp1Run59","Exp1Run6","Exp1Run60","Exp1Run61","Exp1Run62","Exp1Run63","Exp1Run64","Exp1Run65","Exp1Run66","Exp1Run67","Exp1Run68","Exp1Run69","Exp1Run7","Exp1Run70","Exp1Run71","Exp1Run72","Exp1Run73","Exp1Run74","Exp1Run75","Exp1Run76","Exp1Run77","Exp1Run78","Exp1Run79","Exp1Run8","Exp1Run80","Exp1Run81","Exp1Run82","Exp1Run83","Exp1Run84","Exp1Run85","Exp1Run86","Exp1Run87","Exp1Run88","Exp1Run89","Exp1Run9","Exp1Run90","Exp1Run91","Exp1Run92","Exp1Run93","Exp1Run94","Exp1Run95","Exp1Run96","Exp1Run97","Exp1Run98","Exp1Run99"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,165.358514582144,176.756874512836,169.534331168835,187.926606298961,168.399651156186,203.064840776546,158.102952611645,167.816764443996,156.024928928719,162.17213022521,170.477504781287,236.749425818024,163.894826148484,148.409014162779,171.886374179939,181.508227201599,158.351531251492,192.119747249113,214.451638701313,168.444235810222,180.199012438267,174.673855776545,191.399332418903,171.315969548599,189.748357414076,187.36214319464,202.079982770099,194.187143151868,180.546569409829,205.958976987172,162.478658055491,189.531136495702,174.139695660435,198.727262245685,123.248193303536,172.261163155787,142.530840317166,204.39443179067,215.39884102196,136.457694724081,167.407174889703,181.509109279132,156.185012287832,195.804025378851,223.621162101394,146.513639829329,183.756547353283,154.366302507947,184.299488011398,163.604280086054,170.394033443648,225.502210273738,143.024280345064,144.112282406523,173.73105263372,177.551537931951,192.327690647639,173.832484729452,178.484548086778,171.848890324195,215.810058920245,176.102283394783,173.727216807799,180.74384331565,165.685078632846,184.621883940238,143.809146745091,213.475683144596,146.276331132878,157.634643123555,224.864183362681,174.207457004031,173.077254047515,187.69108367523,202.607221989923,195.018963130891,182.148154589696,170.106622774532,159.807139082021,151.251945548197,210.930041783434,152.287225401649,144.669296612492,187.210082032713,173.216556824054,200.917352558854,157.077007744166,199.476029705082,151.611946316067,147.589414227956,170.838156661676,158.472142682707,173.378078238142,164.190040489812,210.745461861403,199.804710406284,222.236130465408,180.271122346708,153.005716014255
3,1316.55741849521,1381.53555721995,1388.62799472369,1422.63261604876,1394.65712593081,1458.38198523747,1357.60727056058,1370.97559424419,1358.48409895416,1349.58073196367,1406.46328080288,1473.66940450622,1338.98411721625,1377.05176854333,1426.7394535071,1422.58587937415,1385.13175645058,1340.2983346536,1378.92873078474,1363.10428393485,1224.54149666458,1387.6744900525,1367.19587958759,1408.53331860479,1379.36037781039,1355.1217321496,1418.58007078494,1383.48606162366,1408.2837035647,1357.23031283507,1394.27093214724,1413.43762025987,1432.02320929222,1332.62587944208,1387.87718707768,1334.07190889633,1382.33830211914,1315.46540075025,1431.92710838055,1362.36273587542,1374.95023029708,1469.99284082398,1376.29347778525,1357.80599970819,1427.6984492925,1463.4400198912,1377.88823039532,1393.38204677348,1340.92735991837,1352.01048774734,1337.52346157031,1289.63325347715,1409.26075706472,1265.09321522831,1431.85016203072,1283.39959199703,1310.98428729373,1297.05011747656,1399.01629868441,1399.40369926974,1342.54873654827,1386.61682389835,1409.29525476365,1400.92786880452,1436.81593949352,1400.52203039699,1309.96222709736,1365.54023386702,1383.83323559034,1298.14634180016,1420.08982817865,1420.57703506073,1382.06829145435,1376.47535931383,1448.91324720996,1362.64543999288,1416.66903374026,1424.35323523767,1343.65338997358,1368.26426261978,1362.23862273162,1359.30052030462,1301.13684284391,1394.9743495463,1392.05863756438,1376.93371380182,1423.12159825184,1332.79936269696,1467.21749046882,1372.2473683263,1332.93420974657,1405.02886468505,1389.99447689898,1434.89652496359,1423.69938940292,1325.06241990432,1326.45471299354,1365.4275898732,1319.6155204026
4,413.503635512394,410.573110908503,399.075629013728,507.898568917194,445.6903502167,574.893078470245,470.765770786289,366.939514462096,380.833562050395,309.924984824611,417.275207000504,446.837121236111,362.769406441268,398.019752055478,537.650208158865,507.004416403255,345.408041008121,385.765769358838,455.031376817321,330.736096176598,444.913723901971,432.733472258587,344.345376890556,350.649581221339,583.795034034606,454.337166622399,471.097473763667,376.05934752347,433.693501723847,343.990227444221,364.264814067402,389.690979151545,354.410112013356,378.243311606819,351.059171095894,377.889757574233,430.292576496932,382.67240778595,486.117015191146,407.192348922556,333.240206205654,402.925447764474,485.168833629145,437.957639119812,535.836141754572,374.389050900172,410.450280514348,370.306136189644,398.840099581091,386.331797731622,465.554357610063,329.570209242969,279.548430991461,306.502391109379,480.392531007104,211.016777202319,388.220923843904,383.152699323022,449.188581486654,307.008876130089,361.988912909585,323.872972465211,391.832358680034,263.718688096397,459.203324406414,321.482674662038,424.068756268429,368.171359314877,429.383653876602,426.772590339347,424.387152914843,359.830537722697,453.093642256176,418.503284167202,526.704310052965,369.181404627923,469.213656665948,384.500838141461,426.735106336091,374.394340609653,452.106014097687,353.890070540416,357.67137285123,411.608459566474,393.756369021066,396.775261044391,452.416539696422,430.735556962468,597.232721584074,598.485682040027,430.129919086837,350.409439409363,299.462289507874,422.66009991675,393.012690835946,497.167409482064,304.97159837325,542.033392860386,474.399654841587
5,0,48.2780483878376,14.6085684310586,140.504021517506,16.0774657957726,220.00725090747,88.8658104466317,3.13883036965206,12.6159971409339,102.564544671376,91.92112385221,126.949636045991,3.14659413022864,36.8700308341911,73.7965584451352,149.723072692786,144.145043042535,122.30078440789,86.9692874344288,0.562503896912347,84.6185670755187,52.4969943086328,51.1681568458105,43.6918271437085,49.4475103117187,45.7203802652365,96.5391699899501,47.1459105389584,39.8014378257794,84.6152541352105,0,7.02575269885129,70.0153565226509,34.9287993694534,63.2182674677118,0.0562950739473536,35.0071009665068,77.6218741451711,33.5919992125124,15.536885291891,31.0049986224111,56.1152518122686,59.6759154610476,0,155.466666689691,16.4970304864502,0,32.7293086927082,99.2815052075723,6.33600481470029,51.8118245814756,38.9670991019694,82.8942012781376,0,77.4653464496288,0,142.394683614878,93.1485471871042,68.8249071834224,0,51.2407045522511,0,142.552350124208,50.2088109645235,85.9740983012435,42.587583852264,101.486275862003,28.6981096209466,29.6837535116538,98.4834390843958,37.7638340769157,65.7655641826929,0,16.9696776259761,73.2095914410698,22.6706439583265,51.9713065479453,27.9223352520991,12.8674095119359,39.7590342306645,64.9323422939163,15.5142133732313,29.691171490156,10.4259583005513,53.9265669771833,97.6649760717643,159.887688208592,63.4156576350133,129.903859145363,64.5925367632607,72.8923363754953,0,11.6028765043766,5.58215205189032,8.01367701733088,142.636256090548,60.2841836468636,49.6261789244797,66.3210925993343
6,43.8967311935533,23.4827425848243,156.228998107214,56.9464036368367,103.321814138432,428.267131124181,41.3351899413522,0,71.886814868345,65.3804335158132,118.550625343952,74.0130321604685,0,457.898270795393,65.3213998687731,183.727814240882,265.6458577715,63.6223320844865,2.27668382476551,6.58492526870559,187.120849919772,271.009318265463,126.381654473804,51.4232211743793,15.2318048165002,128.997852114699,112.781990330695,49.0252654804865,106.956623672539,93.6295852949626,1.66836899441012,119.717856940275,0,15.8921950604314,158.749753843528,56.2976125272831,19.2374624731771,86.6348270066108,129.164178580995,0,223.148549540942,36.4762665041118,284.984365214881,73.6426409921873,123.723893246087,0,0,301.668036176109,310.872252376037,0,59.3081269326053,67.2857830333088,148.088484881644,52.2963711646675,210.928929534012,94.4670824756452,260.709425266474,95.906304712847,81.0243698639456,0,0,28.1369640186427,324.76143459382,7.60010976312955,233.644190830106,3.65091574739056,352.48836126142,4.71692166990915,38.8710194636637,17.2811817133415,67.9376275034767,133.196716441233,29.1320553298578,213.066024515899,139.943601767107,65.2065344215345,68.0355589326462,229.2236620492,266.844413064905,250.010814831344,71.0999556127616,50.3029922340288,56.1802933696024,78.5653979108668,0,96.1016393841655,322.600894882871,148.951531852137,112.952886004397,182.804624892597,0,0,0,56.5714310775079,0,101.460310573646,19.5214435060028,160.960174712475,172.473593772706
7,4185.64895889344,3723.04178505777,4136.35977815432,4256.93796620179,4890.3094706575,3522.71307084167,4666.49160710068,4381.11303385246,4276.79399807307,3779.25983788067,3935.15026530304,4343.0561595619,5189.96669226735,3224.65136291686,4842.30104493918,4291.55759917001,4003.19877028823,3911.0302407361,4362.35374894722,4040.42880431121,4737.01097338042,4348.11717279609,4612.28025449978,3814.45426587203,4874.61596019916,4547.04196260139,3885.04118650451,4465.03805731535,3999.4271806549,4304.55003862583,4916.85152189852,4639.87605972401,4595.94051382494,4597.06157898947,4811.07086568565,4040.0352448075,4373.56526925363,4257.16389852556,4125.23571547417,4876.66264028315,4435.83030296191,4030.16179905239,4458.38429490431,3761.1049595486,3585.52213103813,4033.46611145575,4740.19070364381,3246.43240676404,4201.64290383122,4783.59621312599,4866.29186395012,3714.58647519957,4923.26811073476,4084.7855970169,3885.07822653242,3784.4107409404,3999.63989123659,3679.15707606635,3754.46523778418,4007.45387781157,4376.07366401673,4661.93194876419,4456.35078146921,3796.10882001458,4008.74777970514,4174.98517512075,3716.08933056595,3926.43948194476,4201.1302540082,4558.5922585747,3779.72621913963,3901.42944709806,3829.50209337019,3795.80653561476,3374.89676348052,3921.46617098834,4943.99691456595,4550.56240372598,4541.69301902773,4350.98485277759,4249.78618175719,4001.64919618504,4560.5066438809,4548.45018886949,3844.25092027988,3894.63347322588,3631.15299430183,3907.32501293337,4091.52985640197,3901.9956993804,3975.73000272651,4582.02790637264,3713.48479940005,4451.74550862211,4421.35718172197,4065.96755035823,4374.26072646473,3121.89074413832,4142.33667861497
8,58.9184889290482,227.554807277897,238.736966635499,250.26018816012,298.536100947712,253.659139689615,626.271984780361,382.81974608219,154.120275838598,140.648935600977,249.058186022495,307.736146474536,255.249983291446,110.912233204542,520.412416074495,374.978560474043,339.051758897067,181.081457402424,358.411110929088,97.8105644872862,259.381407321228,288.023927192833,133.038943965257,106.57338687141,256.031469179364,377.27897827722,183.863233360384,395.387720440553,356.713603073698,219.59767589481,171.604342716639,279.27949672813,338.396202400761,279.874971864761,165.073589966969,316.938434985935,320.797943880046,344.956105403413,275.465719461285,284.663373734399,382.381078667392,298.126929587147,347.504694631162,397.959280843275,294.532823493737,413.237607004454,293.782069018864,238.115202465057,299.191981875685,172.961686517159,368.353205412334,219.145934793151,218.669021096039,259.376895138051,205.835117824546,167.676216193083,218.680914406889,246.379622364138,119.862173300548,93.2862061121661,264.540421536615,85.8758874043341,429.430288873783,57.20098648517,326.071063562241,325.239704196851,151.148546188317,201.45623536371,288.461643832546,186.260672648153,99.2947792124473,298.202941797318,106.328497721661,376.118066673256,160.111699051169,191.246398054183,449.69769437114,401.421554763155,212.586548430267,257.413922794449,159.899767866691,321.500574601087,129.459792714791,241.600707446799,309.275796949075,209.796395490483,120.468802521717,245.208504262395,240.917761193159,330.796365591265,206.644442198297,102.229209907073,264.542103253453,310.022638906449,513.124385631451,265.780562040719,416.593888365575,209.767755732464,296.572427902898
9,3670.77243060804,3675.9733973997,4176.87928654924,3951.36333514578,4282.34668654702,3133.16880085966,3651.94351139321,3665.53682164622,3388.93233794792,4265.07424410453,4139.64844055211,3956.44043978923,4722.51310804099,3919.56187841791,3661.13093203608,3909.8532291098,3589.43673890809,3826.94457387047,3373.48232044278,3359.94592319711,4069.49500564878,4334.54674155811,4321.57603105046,3366.56611770288,3853.8719439115,3604.86829835775,3639.29628605038,3439.61303610708,3557.89067617838,3524.72865409073,4110.96238197031,3616.74618086382,3937.93612353405,4221.54465184344,3838.55284977525,4230.84579043324,4033.3134539918,4444.44881926103,3657.60854283365,3826.08190921929,4017.76016449533,4184.74044434594,3960.63173266373,3982.53429122607,3638.23579316899,4195.02361456136,4183.91722514029,3756.52230683626,4209.86299349261,4530.56556307632,3633.35617166303,4364.84546137272,3747.01079643867,3751.92308539361,3637.13120346708,3888.79280563461,3825.67266740179,3812.44717021217,3658.38307932538,3542.46939740413,3890.33187634059,3991.05133341843,3966.4841897579,3667.58566443339,4228.41154538258,3545.80526516942,3540.7404449484,3807.88590536222,3838.16668874397,3395.83118504926,4062.27591603158,3975.01716073007,3752.2045681709,3235.13474384185,4491.57622667399,3796.60924192033,3602.309360904,4050.21797009547,4218.34338508455,3825.72855791766,3984.98211036405,3917.68899104373,4495.66388023987,4150.87162326257,3372.65895676131,3055.85772287728,3624.16073922473,3700.32992839689,3882.35661598625,3876.7806495627,3804.69385849501,4150.77427971735,3508.45583818035,4286.88096635866,3363.57861197432,3508.45987577018,3904.84015745237,2893.74827049001,3775.31351800514
10,1814.91670519249,2001.95995353927,2124.54547439682,1934.94911374249,1970.10497816917,1800.46936093063,2209.88453952273,2362.0515602407,2082.313286991,1719.4864367834,2094.03640402713,1816.39200422472,2108.7032089316,1534.66291125444,1931.57080347361,1669.48520332417,1716.40858174521,1934.39068869896,1992.24036678688,1810.73818085778,1780.81729153904,1752.40327419082,2094.89911456894,1690.08649251442,1951.6711415199,1662.82904853769,1880.25383706038,1735.56584173648,1630.42789796772,2021.45521748156,2107.51433857777,1743.67692838121,1681.44652426195,2099.54546767377,1885.40676215299,2205.76412192704,2276.63348789784,1966.20445188647,1945.23944012902,1751.15988204266,2170.29666811557,1930.1103652898,1852.39718656066,1949.91757189024,1816.24712315651,1910.17891433476,1800.58051262308,1958.25030430234,1979.80270203409,2260.74596068719,1709.42900097361,1610.40200024125,2234.88944209003,2162.56010487246,1537.81093688324,2087.17218944696,1641.91553941459,2053.56033658703,1705.21597288547,1829.83720736345,1730.23142327226,2124.44667835002,1606.77673394909,2005.43841098997,1845.61810389703,1817.01340954677,2018.44488396164,1983.42941872959,2113.3367968254,1887.1698746112,1957.67638494035,2051.72618139456,2165.79822908679,1561.03037681894,2031.19252971668,2078.97610260219,1922.09437080399,1723.22379268006,1939.42695235145,1714.13858001817,1492.62850697222,1721.69293898128,1967.38741667111,1993.37401562162,1837.84349334329,1557.23024654818,1739.88637545311,1910.08617455755,1895.47187779228,1675.84046255928,1724.52574478023,1916.71245147671,1874.74590607122,1982.62623119934,1863.28143873641,1963.11696729929,1933.67285532543,1739.00114459974,1738.03202365845
