"t","Exp1Run1","Exp1Run10","Exp1Run11","Exp1Run12","Exp1Run13","Exp1Run14","Exp1Run15","Exp1Run16","Exp1Run17","Exp1Run18","Exp1Run19","Exp1Run2","Exp1Run20","Exp1Run21","Exp1Run22","Exp1Run23","Exp1Run24","Exp1Run25","Exp1Run26","Exp1Run27","Exp1Run28","Exp1Run29","Exp1Run3","Exp1Run30","Exp1Run31","Exp1Run32","Exp1Run33","Exp1Run34","Exp1Run35","Exp1Run36","Exp1Run37","Exp1Run38","Exp1Run39","Exp1Run4","Exp1Run40","Exp1Run41","Exp1Run42","Exp1Run43","Exp1Run44","Exp1Run45","Exp1Run46","Exp1Run47","Exp1Run48","Exp1Run49","Exp1Run5","Exp1Run50","Exp1Run51","Exp1Run52","Exp1Run53","Exp1Run54","Exp1Run55","Exp1Run56","Exp1Run57","Exp1Run58","Exp1Run59","Exp1Run6","Exp1Run60","Exp1Run61","Exp1Run62","Exp1Run63","Exp1Run64","Exp1Run65","Exp1Run66","Exp1Run67","Exp1Run68","Exp1Run69","Exp1Run7","Exp1Run70","Exp1Run71","Exp1Run72","Exp1Run73","Exp1Run74","Exp1Run75","Exp1Run76","Exp1Run77","Exp1Run78","Exp1Run79","Exp1Run8","Exp1Run80","Exp1Run81","Exp1Run82","Exp1Run83","Exp1Run84","Exp1Run85","Exp1Run86","Exp1Run87","Exp1Run88","Exp1Run89","Exp1Run9","Exp1Run90","Exp1Run91","Exp1Run92","Exp1Run93","Exp1Run94","Exp1Run95","Exp1Run96","Exp1Run97","Exp1Run98","Exp1Run99"
1,4.21328969650658,4.21348524616025,4.21288008784114,4.21314923971319,4.21299075412086,4.21249608447063,4.21237463620027,4.21326629804053,4.21269562256842,4.21276517109246,4.21251260637467,4.21284955623702,4.21281039942923,4.21198269014735,4.21292546273365,4.21246299517612,4.21328256435582,4.21320534138619,4.21246200377083,4.21366223159949,4.21318164350614,4.21258733257228,4.21283751158496,4.2124784330522,4.21251072495857,4.21237536987385,4.21318936874888,4.21319377902728,4.21311577846007,4.21282013085564,4.21294003219706,4.21265522221536,4.2125803232254,4.21271539677642,4.21232187050423,4.21286306359608,4.21335270154979,4.21326476202938,4.2123847624473,4.21339647731703,4.21316289690403,4.21239159876523,4.2134903939108,4.21314249801155,4.212289976522,4.21275389267621,4.2127687020322,4.21316199644356,4.2130737144042,4.21281376733118,4.21322460861983,4.21317528449524,4.21249927749393,4.21233913817102,4.21252846186673,4.21269545736077,4.21349638091337,4.21293560294871,4.21238332018731,4.21277705403363,4.21322234706773,4.21304991201052,4.21317805266448,4.21284634648323,4.21280747938169,4.21211986980344,4.21343565544549,4.21243211874801,4.21292485654181,4.21293336421508,4.21298361378885,4.21247495455996,4.21307292370252,4.21341387687095,4.21277281840306,4.2127297646738,4.21313023639427,4.21346032832568,4.21286682311566,4.21238399221472,4.21303498321793,4.21248321363454,4.2123326614681,4.21322357179639,4.2124332365632,4.2133513004079,4.21317503877398,4.21267120425151,4.21249324148891,4.21245758918741,4.21305791480647,4.21290272383019,4.21256099604743,4.21261624294731,4.21325803038517,4.21285311128413,4.21256349615185,4.2138689125385,4.2121816338997
2,4.25390128667495,4.24923909577301,4.24915164496847,4.25054794307961,4.25046622406312,4.25344820250123,4.25133307365729,4.25486964244322,4.25496618370352,4.25053563963835,4.2545219756447,4.24976962454472,4.25154731985268,4.24734799129088,4.24945803563379,4.24697277893751,4.251096944937,4.25491716521722,4.25318882005581,4.25279707283898,4.25160335393165,4.25065633578257,4.25545556599997,4.25159278784936,4.25139143119829,4.25206102017157,4.24803025001169,4.25087463261277,4.24955464136946,4.25349648516304,4.25510797817206,4.25278411063191,4.25380284213137,4.2487331269598,4.24853895960582,4.25082023304784,4.2492210963847,4.25242618637364,4.25228132363872,4.24862140106455,4.24875816152708,4.25237249654739,4.25148746343774,4.25328660542727,4.25269094671279,4.24860716222177,4.25180007945462,4.24752375862722,4.25293642804624,4.24896975405692,4.25011781376813,4.25276866834812,4.24986745275683,4.24972952344938,4.24763673260446,4.25453015290651,4.25007551538678,4.25381131428893,4.24922921330208,4.2499639216979,4.249469243692,4.25251303670835,4.24892895691988,4.24784903290383,4.24974878150064,4.25297599143961,4.24634687878033,4.2504116783044,4.24551819270128,4.25199236094472,4.254700010382,4.25080239768725,4.24739250926602,4.25088694309395,4.25046404871251,4.25200335144472,4.25155857108361,4.25132050520174,4.24909332914064,4.25035126871737,4.25265263598963,4.24978014347507,4.2518057748493,4.25129459726187,4.24931385484947,4.25648117381961,4.24894639684751,4.25242796523087,4.24907662380953,4.24807014043246,4.25100362223751,4.24806333655837,4.25372457208715,4.24847447243315,4.25164717192368,4.25249860553616,4.25275654025603,4.25286404052712,4.24731211794749
3,4.21576098412535,4.21722107129861,4.21714950464708,4.21593040519507,4.21382811244479,4.21238561024884,4.21741809297176,4.21371936752167,4.20939964091714,4.21119525900611,4.21428349253317,4.21553096734831,4.21199799019766,4.21538220102343,4.21782576430232,4.21553420804833,4.21765097400139,4.21370353208888,4.2120413442401,4.21511658859676,4.21863894318,4.21813281060588,4.21449211284432,4.21681528086016,4.21365758038548,4.21415286737264,4.21804067846445,4.2126867018004,4.21260041789915,4.21240771617522,4.21377241840184,4.21188013677739,4.2166957676428,4.2118085856557,4.2118232526114,4.21566291221252,4.22098663960839,4.21536555593237,4.21438426203197,4.2186538357531,4.21653657306001,4.21446717332078,4.21438053276177,4.21361750491595,4.21513929277383,4.21764057059244,4.21266004743869,4.21858711754215,4.21718422551332,4.21460171588673,4.21818186602155,4.21420684750364,4.2159574127598,4.21191086116892,4.21488122540751,4.21340978826708,4.21579687075747,4.20998294914336,4.21437584684092,4.21893548678513,4.21669757655519,4.21376143827455,4.21768770361391,4.21421718471582,4.21478563519271,4.21333461064329,4.22096298445396,4.21440783149316,4.21662131420119,4.21916033257916,4.2110003254187,4.22004529364251,4.21927962557902,4.21710267668008,4.21784634260402,4.21608645551939,4.21227485815222,4.21866881144979,4.21846186058757,4.21586356974351,4.2143694788986,4.21591838520567,4.21573097358528,4.21504544922984,4.21539468104518,4.21638048999193,4.21299314502978,4.21249330354657,4.21515475594939,4.21526421039087,4.21066371667826,4.2176262339789,4.21659054261699,4.21835315611209,4.21906862750425,4.21133749273547,4.21170950382025,4.21673341444921,4.21379112175694
4,3.70244280583238,3.69439451394581,3.70007554184369,3.70477531837451,3.70401540621559,3.69925464253999,3.69680932863251,3.69668890083051,3.69977855569175,3.69965137412932,3.6933184486331,3.69533158535551,3.6985729607819,3.70000769748488,3.7015536914457,3.7051346543495,3.70106637309914,3.69778806238382,3.70254285520266,3.69516479718292,3.70010949911986,3.70229980262477,3.69556812426276,3.69949908045394,3.70243389907655,3.69696881306646,3.7058033479896,3.69670465420161,3.70311827571071,3.69515521083589,3.68918008456285,3.69710880569459,3.69754499681921,3.69875629988469,3.69481990360725,3.69493799063518,3.69622617613296,3.69972543437028,3.7022951352417,3.69854069710533,3.69911646769651,3.70043307780126,3.70218099010108,3.70028133067459,3.70256518548242,3.70126088199485,3.6991923115284,3.69489369128545,3.69834447770069,3.69283062878127,3.69319432789519,3.69927155837006,3.69638248124385,3.69985598340349,3.70520557548809,3.69138810361865,3.70550121201629,3.70324663170928,3.69131945114676,3.69071330739057,3.69623245629283,3.69316515147249,3.69904775030223,3.69502400722357,3.70630924829997,3.69976269807681,3.70011802205629,3.696622599638,3.69567538796258,3.69751842700565,3.69948954469999,3.7002943049535,3.69927609119275,3.70319403645238,3.69792646186328,3.69552858602287,3.70199597493972,3.70049099439692,3.69662777033822,3.69808440283811,3.69587052078864,3.69583297339475,3.69835671000531,3.69172936998694,3.69977365070716,3.70106876129981,3.69976866428571,3.70082621432073,3.70833090866508,3.70991200927719,3.69549402819215,3.68874727290238,3.69736453858955,3.69352914241808,3.69268479853049,3.70628102153068,3.69348472013015,3.70157461124918,3.69924844258617
5,3.13598189064976,3.17174706443003,3.17008081148005,3.14104977630488,3.12514852542929,3.26041489182093,3.13189436956904,3.12172624701606,3.10951369106788,3.14355870196247,3.13198483765184,3.14037578432564,3.03350248949569,3.24563533224158,3.1397089847067,3.14563956142337,3.20960570082757,3.13868926065451,3.14146369481623,3.06732407683907,3.15460846951732,3.16628748445259,3.08133528456384,3.22391408827608,3.0963877847986,3.12225683373266,3.18455776709749,3.10971114741414,3.19351586149029,3.10755086194412,3.04759735581459,3.12903747796339,3.09257958148525,3.06607242326561,3.09150281186563,3.09462451203534,3.12794735358715,3.10566354230293,3.13191028517912,3.122902976015,3.13685698451156,3.17360640676044,3.17799732092531,3.12270223875941,3.17412920027804,3.16961261672509,3.09258373432483,3.20005853353848,3.13164007069175,3.03688297757089,3.11558049857915,3.19337045604067,3.11690170394403,3.14860901186372,3.25382708978293,3.14095591528399,3.22712117855283,3.12509798544198,3.18124616276852,3.07424088973548,3.08130460063334,3.05938112441505,3.17421386179651,3.17580266748295,3.23636847858958,3.1254380031258,3.23125022881571,3.07598910233692,3.16401096986918,3.12378205171412,3.10422595873038,3.16380024148866,3.1136647773058,3.20401107153563,3.17022869918527,3.17100858113417,3.12257588216282,3.19695040840042,3.16120518229553,3.18295184971248,3.17106321472731,3.14916105564692,3.08424560578492,3.10729459750255,3.16001741942373,3.18797436920556,3.22010264817472,3.19353388335081,3.26096422915656,3.24889469049477,3.14036605526087,3.02459672861336,3.15194403569135,3.09289360203611,3.13195885966008,3.24079869486932,3.13290286517036,3.26438362986907,3.16329285306421
6,3.65920791547931,3.67584033425584,3.68209913494015,3.65353219797089,3.71574464587505,3.7030001805327,3.67105018992689,3.65698791045778,3.66885318125358,3.68422085574407,3.68614579806852,3.68611743884564,3.62672451094762,3.65983874425221,3.72136672507904,3.70778562561677,3.69638904533505,3.68790699793384,3.64891575928653,3.62112901793239,3.62765446745829,3.69453952035653,3.68727918510981,3.69993243364559,3.6845296927529,3.67857986700761,3.68886996442495,3.66036895965008,3.6353853394431,3.6336107077677,3.64192980126756,3.66430454785116,3.66422774165787,3.64638574811916,3.66308704530864,3.64844994802448,3.64422319963863,3.67794074391014,3.66201607037811,3.68276567080792,3.66252379651958,3.71927325309235,3.69219324661052,3.66205404592566,3.66661855754525,3.70787075697235,3.65333294142663,3.69751301761035,3.66143354597867,3.61297962694336,3.67602678099707,3.70834110790921,3.67200068971961,3.67704659101661,3.70705480247715,3.63479081412125,3.72749243910375,3.64263038283931,3.69206841152486,3.61844296398124,3.64163770594695,3.63960378572661,3.69184877070864,3.6726595190018,3.75178046466159,3.64470789363414,3.73079969991882,3.66886085362672,3.65143642426816,3.66472862446962,3.64349128942468,3.66270688101125,3.65301623068593,3.6970715518568,3.59330623195577,3.65270700346737,3.67832068017767,3.71612854324059,3.70128820136998,3.71003387350884,3.67996288120565,3.67741167837798,3.65473960522009,3.67035352339238,3.64526506456379,3.68407677263975,3.70190830829322,3.64770672169865,3.73291769065225,3.71292164443219,3.63798993223846,3.61622530459498,3.65652139552494,3.67845907429359,3.68821156958583,3.7163404152427,3.64833987786263,3.69844736503833,3.7179671733057
7,3.52410558746832,3.53463736098473,3.55224907042253,3.54839395689157,3.58787961956377,3.55003412483323,3.57522251706696,3.53128697147454,3.50683962685177,3.4863452724734,3.49117455890896,3.53795355752164,3.51114518183661,3.53803150964049,3.57016536189388,3.53159432481191,3.5373141307521,3.51590923347728,3.57924278866796,3.48544308331937,3.55265901259532,3.53628311031167,3.51994400869309,3.56122543093837,3.55330363770138,3.55957994815841,3.54993243988985,3.52415075939599,3.56882126322136,3.51627789643735,3.52454793510271,3.55219093575323,3.5627129173843,3.49882247971025,3.5174035024539,3.47934921922689,3.549533131134,3.46311593757467,3.48882093228126,3.57373354508009,3.55110408404977,3.55049166447933,3.58813093420071,3.51083965861955,3.52119888526445,3.59306754624978,3.54956125633299,3.53410787607023,3.48877179725296,3.51231400040021,3.55786953765394,3.54368955653962,3.54308002019689,3.55743350629087,3.58552295781806,3.49038523273634,3.58585873119426,3.48934994923987,3.52358735446966,3.45560432406239,3.46595768533208,3.52435706039281,3.55702497830025,3.53441684625549,3.61049363172126,3.53084331809395,3.56627830834196,3.4803251466332,3.55361665208348,3.51897366699539,3.48765562012977,3.55733028487493,3.45112398847243,3.56596184961004,3.4519373453192,3.56035496795926,3.59272104701389,3.59385623229982,3.55564420803951,3.57896950455755,3.55852666713544,3.55006728674139,3.49091214340212,3.52588363068173,3.56938254575752,3.55870678754407,3.54178051057022,3.51429708472456,3.62754998791548,3.56461607530179,3.51179617607448,3.46030109252618,3.51554110778975,3.55919237358376,3.54227147181761,3.59284585262947,3.51278153592742,3.55397553491079,3.5384759243361
8,3.83820911119781,3.78948806267833,3.82083182680376,3.86871425952205,3.87454461869807,3.73214704404098,3.85269745992516,3.79213279680142,3.7792796162354,3.81177505598224,3.77771946911745,3.83041204577883,3.88587862643317,3.84097926002599,3.82267557725902,3.79791241224505,3.78079336962285,3.82826714134521,3.8511598640701,3.78568476495353,3.90614714302473,3.82888983577196,3.85699878782362,3.7875257087863,3.855089617467,3.84798564378524,3.83039922945455,3.7921081585245,3.88702092877522,3.82077566906667,3.85337244399005,3.84635598851796,3.86663491376298,3.83991317029613,3.82930590759309,3.78727399397614,3.87013262869761,3.7727163600039,3.7742242640505,3.84731849449196,3.85604367390607,3.82849757789901,3.88000933336017,3.79767474561108,3.78789810060662,3.85179281918383,3.86435683326154,3.77838151347471,3.82660487334558,3.87431405330274,3.84998854219797,3.81191491792711,3.83731228824847,3.82810773849177,3.83221182250312,3.7974515429569,3.83557914854136,3.80093575366771,3.81032289330795,3.78410344379073,3.75183366595352,3.83760282358978,3.83046536266244,3.80459438152037,3.86080819443894,3.79610530386482,3.80982405421874,3.80725188540339,3.87912259449545,3.7700050038386,3.82276490862055,3.8589650893893,3.78548015817602,3.79497008639519,3.83114504858806,3.84654827540733,3.86790183946882,3.89123472329029,3.84931560416763,3.86184372882878,3.842872081595,3.84164845334933,3.86024211662078,3.83473913730654,3.85744555628677,3.79304731375306,3.78249582625863,3.79061746269293,3.87486201469629,3.82698690111122,3.82171628304859,3.80501599944652,3.79738981996493,3.87728366182786,3.76957014899251,3.82495497760603,3.83466010550386,3.76378403198631,3.77664180643814
9,4.0521254551658,4.02437588593603,4.01740624618198,4.07237241062409,4.03213243752473,3.96011775776398,4.02514569401628,4.02843404152609,4.03746283211224,4.02615389108145,4.00816322489038,4.0358179619547,4.04781794515023,3.99156725340028,4.00823662974199,3.99237161736594,3.9799033394689,4.04287076025799,4.04848013070636,4.02248876189724,4.06655392950685,3.99290866451066,4.04208647045821,3.97166327658462,4.04303199606496,4.04032771153388,4.00390777671185,4.0213492761827,4.03947277251559,4.038420667918,4.03811280283161,4.03907013543135,4.0561804203801,4.04115727272116,4.03035139527701,3.98458832045208,4.02771657003105,3.99399769325601,3.99712682848256,4.0174072572011,4.04768251850373,4.01213704394818,4.03621643230731,3.99614165637204,3.99695068017918,3.99204761448237,4.02303508937097,4.01051701499663,4.03354434694195,4.04451852977358,4.02697483882808,3.97354669031819,4.05816968644068,4.03699791358988,4.00769801144949,4.02288999428812,3.97936795445163,4.03651378233858,4.01369755494553,4.01616713171599,3.97541315463966,4.03943825716564,3.9885055324551,4.03522318152812,3.98159419940146,3.9873636073275,4.00800272538887,4.03379207795491,4.04802569501882,3.99744878054377,4.04439242118537,4.03567212202486,4.02230882639458,3.97410261325708,4.02426661576676,4.01121477694909,4.03034497140575,4.04659735282885,4.01631610684131,4.02800192572251,4.00975552742083,4.01721587159584,4.04811148038036,4.02252221957797,4.04501351630924,3.99939243566067,3.99160225298934,4.00484714381576,4.01677633112866,3.99363226903421,4.01067023069353,4.01995868163562,4.01102466378532,4.05568653370095,3.99450532869538,4.00638399616259,4.03695814303919,3.95042544128262,3.97633353226113
10,4.10234837495097,4.09517339014259,4.09853931089126,4.11856203384262,4.12783856992865,4.08540114120529,4.09858480448066,4.09242408893908,4.08503499318654,4.09427503999742,4.08261042224854,4.09905411576623,4.0941372863437,4.11100147375347,4.10709736368663,4.09083556271033,4.09280549861881,4.097277373223,4.10116890636304,4.0703218661983,4.1183463040529,4.09718776682788,4.10842532123274,4.10070708844919,4.11226062692952,4.10067220795374,4.09132681983739,4.0855400275766,4.12179876371952,4.08775458342297,4.08462790422001,4.10881416570076,4.11051633971684,4.08554448237972,4.09604636889012,4.05970967603733,4.09190693602007,4.06632487225027,4.07593471404654,4.1022920830701,4.10855370217363,4.11235395671642,4.11370811164149,4.07705374572065,4.08749121550519,4.11247174790206,4.10195553462941,4.0916053836648,4.09750548855249,4.08192702317847,4.10421422183887,4.09752920270637,4.10574779547205,4.10617752855909,4.1235897810825,4.08923681365456,4.09640970281637,4.08207759180862,4.09907351397817,4.06311792492056,4.05425148711463,4.09159620852207,4.09761469154672,4.09760213867655,4.089447534451,4.07321189894805,4.09521159170784,4.07963919798753,4.10965729134431,4.07468557056202,4.09445619940254,4.11760808027838,4.0775642227082,4.08068857450239,4.08334287622343,4.10250227902833,4.11135419579046,4.12805477180065,4.10437420762494,4.12901077317533,4.10933431265085,4.10590050914341,4.09744716724576,4.09268050643721,4.10697172835893,4.1041475445834,4.09475884849748,4.08725760727818,4.09112792012751,4.11949681808255,4.09007445512502,4.05965884067021,4.09045342418541,4.10434100168503,4.08438285241357,4.09825727948171,4.09425650043159,4.06103772916084,4.08614942489661
