"t","Exp1Run1","Exp1Run10","Exp1Run11","Exp1Run12","Exp1Run13","Exp1Run14","Exp1Run15","Exp1Run16","Exp1Run17","Exp1Run18","Exp1Run19","Exp1Run2","Exp1Run20","Exp1Run21","Exp1Run22","Exp1Run23","Exp1Run24","Exp1Run25","Exp1Run26","Exp1Run27","Exp1Run28","Exp1Run29","Exp1Run3","Exp1Run30","Exp1Run31","Exp1Run32","Exp1Run33","Exp1Run34","Exp1Run35","Exp1Run36","Exp1Run37","Exp1Run38","Exp1Run39","Exp1Run4","Exp1Run40","Exp1Run41","Exp1Run42","Exp1Run43","Exp1Run44","Exp1Run45","Exp1Run46","Exp1Run47","Exp1Run48","Exp1Run49","Exp1Run5","Exp1Run50","Exp1Run51","Exp1Run52","Exp1Run53","Exp1Run54","Exp1Run55","Exp1Run56","Exp1Run57","Exp1Run58","Exp1Run59","Exp1Run6","Exp1Run60","Exp1Run61","Exp1Run62","Exp1Run63","Exp1Run64","Exp1Run65","Exp1Run66","Exp1Run67","Exp1Run68","Exp1Run69","Exp1Run7","Exp1Run70","Exp1Run71","Exp1Run72","Exp1Run73","Exp1Run74","Exp1Run75","Exp1Run76","Exp1Run77","Exp1Run78","Exp1Run79","Exp1Run8","Exp1Run80","Exp1Run81","Exp1Run82","Exp1Run83","Exp1Run84","Exp1Run85","Exp1Run86","Exp1Run87","Exp1Run88","Exp1Run89","Exp1Run9","Exp1Run90","Exp1Run91","Exp1Run92","Exp1Run93","Exp1Run94","Exp1Run95","Exp1Run96","Exp1Run97","Exp1Run98","Exp1Run99"
1,5.03786340831149,5.03769382861838,5.03698795519447,5.03793461333431,5.03784723965202,5.03809168126302,5.03712182003737,5.0377621629312,5.03752091603586,5.03792568989949,5.03771352172987,5.03773550330207,5.03688180271727,5.03737851876481,5.03773824343357,5.03734334192215,5.03779155445309,5.03783523153991,5.03717427253487,5.03742499295013,5.03769744626686,5.03690701364907,5.0372376916217,5.03751815858637,5.03744816856811,5.03747266914801,5.03773778811323,5.03737467089354,5.03776977992265,5.03723352053936,5.03797166773308,5.03780848924303,5.03759740155552,5.03773351009746,5.03738979295826,5.03735332824766,5.03715998317342,5.03789717457233,5.03750963092159,5.03765643899524,5.03770743070887,5.03737611303399,5.03804321217995,5.03715423773795,5.03782971691206,5.03743712130472,5.03697699062819,5.0375055913591,5.0381385048751,5.03770233379635,5.03736913619908,5.03773752101179,5.03685934847282,5.03696560457038,5.03752995183007,5.03716603232487,5.03770595324362,5.03755343718214,5.03742317048045,5.0368821050432,5.03747132632824,5.03799772139624,5.03741688239652,5.03755581650948,5.03775677415823,5.03689883451627,5.03758245512669,5.0372737010985,5.03717888009129,5.03726620974335,5.03728922206085,5.03757176337018,5.03793166865898,5.03760479157734,5.03753241496373,5.03714268032742,5.03764429207442,5.03745305709793,5.0375689791853,5.03709537714699,5.03726714366568,5.03743896269265,5.0373615781515,5.03718702352444,5.03674800955985,5.03748688911339,5.03729113674877,5.03752018097521,5.03739780869097,5.03747489339874,5.0380911443349,5.03645471280617,5.03737469755799,5.03748118951004,5.03759538900604,5.0374450377915,5.03767123687624,5.03779797898338,5.03732140104292
2,5.0743117584213,5.07436283644401,5.07360494046305,5.07485010822706,5.07517869932595,5.07519034400336,5.07389328413743,5.07439451025024,5.07458836130992,5.07441474228529,5.07470138708107,5.07491529716776,5.07386429273924,5.07455704027456,5.07506414820567,5.0745430150278,5.07465842342951,5.0748003358047,5.07354875803652,5.07400596004801,5.07455480000622,5.07355335727245,5.07437312659614,5.07459241692322,5.07431592291731,5.07433485317164,5.07487796805087,5.07413496327709,5.07431254932624,5.07408837421051,5.07478360599779,5.07509931799731,5.0746950440261,5.07427832159653,5.0740549493599,5.0735435923695,5.07391110024629,5.07506804183089,5.0742971774655,5.07396120045562,5.07460974893673,5.07459513958358,5.07461754089323,5.07388288165658,5.07486162742337,5.07454991961529,5.07365452292794,5.074421725705,5.07518383736137,5.07467945941104,5.0736996996431,5.0744005601832,5.07387883632558,5.07404514577017,5.07481626581627,5.0740276063559,5.07484678885184,5.07407817760247,5.07419030377425,5.07408915457329,5.07443565880127,5.07480830792251,5.07428649595386,5.07468308159765,5.07413959407033,5.07408449778984,5.07487679264439,5.07394157495987,5.07411898959793,5.07451807923218,5.07353211936752,5.07423818745909,5.07506771282288,5.07424210002251,5.07441044334463,5.07408024028927,5.07501756568181,5.07433816607263,5.07436496941579,5.07436524356415,5.07370229567145,5.07376122336274,5.07415830146805,5.07443997623087,5.07445875256106,5.07411883251491,5.07395679823964,5.07432781394581,5.07426634204749,5.07447154859029,5.07554636650836,5.07365679865107,5.07534586720068,5.07522465098933,5.07403907854617,5.07446375723118,5.07467775737788,5.07439790238263,5.07390535211401
3,5.10962770684904,5.10964209591442,5.10894032439279,5.11012010681085,5.11112400052521,5.11047615199562,5.10961808295448,5.109896568534,5.11014985839506,5.10998129381201,5.11042643909045,5.11038940775684,5.10948638404315,5.1105043723802,5.11104091978238,5.10999324968561,5.11046923567654,5.11026498591855,5.10917175088493,5.10926530799107,5.10993739316419,5.10948975465366,5.11005615944921,5.11069173317288,5.10997521283308,5.11008613790867,5.110324237349,5.10939768866514,5.10949470590531,5.10971499048581,5.11013936874925,5.11115046609652,5.11042225800839,5.1104925283158,5.11012909119172,5.10983638592312,5.10993225679167,5.11050745538555,5.10986594548863,5.11032266758067,5.10979498611582,5.11001429871288,5.11092191280203,5.11004480257286,5.11109215443827,5.10976151329484,5.10892441410881,5.10962283652276,5.11057690843946,5.11020041034404,5.1092674820543,5.11015584660355,5.10888547784356,5.11020900346034,5.11039428174131,5.10966472596731,5.11031986290577,5.11009818110264,5.10972844854961,5.10940330760367,5.11001729158259,5.11050888730122,5.10972842837843,5.11027811190255,5.10986147084787,5.11005279639636,5.1105297423466,5.10929709912136,5.10960813140352,5.11068065894092,5.10903922072471,5.1098887872547,5.11064052322706,5.10972068809678,5.11071055434493,5.10965586320287,5.11091191746422,5.11029996854347,5.11028286399828,5.11033027638215,5.10901065658709,5.1087809668502,5.10974962197241,5.11020040974502,5.11030987155409,5.10999346774921,5.10970800925855,5.1101154694779,5.10949947987071,5.10997907132499,5.11108423514054,5.10928202869483,5.11086936182744,5.11148593571474,5.10976928535097,5.10935030080835,5.11031878392545,5.11003482905644,5.11001506465849
4,5.14518546353952,5.1456543298919,5.14438364722562,5.14573178644674,5.14640603301949,5.14581212521387,5.14460759573063,5.1456337748062,5.1450421131932,5.14499978931292,5.1451777885371,5.14571331691342,5.14384629111749,5.14616280260829,5.14549691003809,5.14491900514058,5.14621858392369,5.1459133762,5.14415062785775,5.14440714865365,5.14537820290177,5.14462211580158,5.14567039929037,5.14594914158829,5.14484882723045,5.14533109289236,5.14527509188635,5.14484105154787,5.14464586082011,5.1450959350997,5.14592934227278,5.14646606060239,5.14593304449181,5.14589788036409,5.14573168312261,5.14517013508526,5.14539560686972,5.14531450176815,5.1450232943084,5.14598447174327,5.14465647397038,5.14601949172963,5.1463453132511,5.14509788268136,5.14666691884457,5.14509007093994,5.1448737616042,5.14468559537319,5.14579464773459,5.1449169580665,5.14481896230039,5.14516364638619,5.14397824869347,5.14527660085158,5.14577998627878,5.14550464785283,5.1457417916468,5.14485178410317,5.14473865151717,5.14504425479886,5.14554959096645,5.14525572010016,5.14475948726928,5.14597246867099,5.14515478733792,5.14557864382586,5.14585472209564,5.14449319291882,5.14529205138718,5.1455479821137,5.14374487764854,5.14581140066351,5.14573537150783,5.14494170720202,5.14598019469799,5.14516629212137,5.14609031070518,5.14530710400985,5.14538251625874,5.14591512644562,5.14425275658334,5.14401616515174,5.144882038336,5.14551942631078,5.14565611653392,5.14570618461823,5.14475128307267,5.14578746078072,5.14433428468671,5.14506559409535,5.14619394592162,5.14375564404203,5.14634091719491,5.14655441188809,5.14518924485894,5.14439493787066,5.14567059961534,5.1452598308516,5.14460662697832
5,5.13741589921413,5.13789830502408,5.1369291600005,5.13783179776494,5.13877887996803,5.13817705587992,5.1363600774647,5.13745132805369,5.13739700874348,5.13718062284358,5.13783069004656,5.1377116255727,5.13618260420067,5.13834624551029,5.13768740992542,5.13733239778117,5.13871417368212,5.13861248497731,5.13626451634468,5.13632466077575,5.1373891785425,5.13654210212287,5.13815356897062,5.13842122208545,5.13729328538455,5.13751658575533,5.13795694079658,5.13727046175598,5.13674629329888,5.13753164278515,5.13790238584069,5.13859759569224,5.13786774820888,5.13808611098985,5.1377427610509,5.13746254441559,5.13745239587502,5.13724920185219,5.13749795772208,5.13835356471379,5.13681843307937,5.13847598680857,5.13875026431083,5.13736515780953,5.13911195947041,5.13730732233303,5.13732389389333,5.13679269197288,5.13818780425731,5.13709999082511,5.13678165536842,5.137359988554,5.13591480767577,5.13781056521711,5.1381592140593,5.13782078623731,5.13809527810142,5.13725463764577,5.13699142314171,5.13721744636844,5.1378015680863,5.13718652399494,5.13691646128615,5.13835503941793,5.13718109418143,5.13814970512056,5.13802647315968,5.13677130865099,5.13776548112953,5.13767210319694,5.13597057538678,5.13813596294229,5.13827829275225,5.13707082264828,5.13854375236655,5.13762295050829,5.13855289774294,5.13755651469409,5.13794571102094,5.13796990759876,5.13649686410147,5.13619555070725,5.13686321636841,5.13793849612425,5.13769704008415,5.13800608763417,5.13718368835238,5.13798337539966,5.1369446418255,5.13735262299235,5.13795736184229,5.13601506143528,5.13849494380201,5.13863991419416,5.13736388470226,5.13680876972263,5.13779617622559,5.13756366444422,5.13691094177964
6,5.12302499502519,5.12310748198749,5.12281816398803,5.12300225668844,5.12337754144828,5.12522384524785,5.12080035869305,5.12244182015112,5.12206673287425,5.12247783919256,5.1226586323598,5.12303230323713,5.11971527226852,5.12456423172878,5.12290282105222,5.1222862454252,5.12464117452178,5.1230835329711,5.12151201487043,5.12033036559918,5.12252036194552,5.12207850037873,5.12241149691726,5.12477604537617,5.12228182133993,5.12267412620078,5.12408988635051,5.12246612405718,5.12314150144906,5.12199138611174,5.12089719711072,5.12350213084262,5.12240247795257,5.12199080106598,5.12204759502112,5.12170332360575,5.12238308284778,5.12173064060953,5.1227554240644,5.12314491788286,5.12207602456171,5.12433671926609,5.12459743994231,5.12240889009627,5.12450597762275,5.12331063652213,5.12150127822156,5.12275127307092,5.12293546419303,5.12042539538638,5.12175571369705,5.12320438008207,5.12018275786558,5.12304934577951,5.12538119415975,5.12272234920875,5.12390706317284,5.12248828871627,5.1230128761952,5.12089736773497,5.12228522604988,5.12078582684441,5.12254603426401,5.12478622820252,5.1235120158416,5.12311322394174,5.12451576736795,5.12047711487289,5.12313605853046,5.12226665056369,5.12015251951296,5.12380803771232,5.1230907851695,5.12369714818327,5.1242441958061,5.12303325397969,5.12326894673278,5.12328597213202,5.12334676911581,5.12345973894482,5.12174138915497,5.12144427163181,5.1217441242084,5.12266334060503,5.12308064695225,5.1240533897969,5.12362477059038,5.12438441963882,5.12362980062991,5.12370104421644,5.12345015650089,5.11922581082703,5.12442091544505,5.12304861887493,5.12264954146095,5.12394758663534,5.12282726565047,5.12485735149605,5.1220477981034
7,5.12138841258192,5.12206980721276,5.12158264067211,5.12131364769241,5.1217954456199,5.12435123418935,5.11910859296411,5.12060209559767,5.12033388911369,5.12106440236709,5.12157369385846,5.12156852041213,5.11771458953048,5.12323608501605,5.12187401909917,5.12067342671924,5.12341713027353,5.12206521172041,5.11970201366844,5.11822306060078,5.1207410794403,5.12064401864862,5.12078544591201,5.12411938566952,5.12056229535386,5.12082998480732,5.12308131940235,5.12063993480766,5.12179266211341,5.12009097987827,5.1179789428902,5.1216356063749,5.12062127420538,5.12019662730412,5.12019975344506,5.1201595510936,5.12092136755918,5.11975183055094,5.12101674759409,5.12163862922579,5.12052084348632,5.12294657516564,5.12352161923106,5.12089041923343,5.12336309795256,5.1221045719327,5.11994060609819,5.12150737756133,5.12149971592721,5.11834303019302,5.12015564965999,5.12185242298452,5.11835691592708,5.12152677284543,5.12468815969964,5.12148902764502,5.12322594732024,5.12098743091478,5.12233976309093,5.11918402879485,5.1200432266211,5.11881545024768,5.12111723069332,5.12398228915846,5.12296255648017,5.12094629646532,5.12357369243976,5.11867834128462,5.12187413256819,5.12076142332871,5.11849181987402,5.12229251193324,5.12199893105546,5.12241207932179,5.12327271683714,5.12197006236316,5.1216173805972,5.12198594120547,5.12214735464606,5.12232671468624,5.12005668644297,5.12037725624714,5.11972741475019,5.12100671424085,5.12168520253854,5.12307639045953,5.1228041170385,5.1229853989326,5.12315285722892,5.12313270011805,5.12189162520074,5.11715807670522,5.12304199967216,5.12110970436391,5.12099612899795,5.12345060803105,5.12086132969436,5.12418688470759,5.12085857103797
8,5.12538818257987,5.12621178734874,5.12571163370925,5.12572292569115,5.12604217059767,5.12822230027332,5.12386701126944,5.12489746628455,5.12485006919163,5.12481492227271,5.12539072895979,5.12590808375154,5.12326863963109,5.12767513522087,5.12615816737332,5.12423412973105,5.12741576211517,5.1263101790758,5.12452225748751,5.12336359988976,5.12628236740693,5.12472084496367,5.12537917553374,5.12814076257901,5.12477968609215,5.12522855920879,5.12694731101683,5.12533350579917,5.12707331094296,5.1249098414122,5.12326008561087,5.12667154245308,5.12546134557842,5.12496814056679,5.12475664465976,5.12459069615716,5.12654992494199,5.12338041967032,5.12572450228333,5.12664047133471,5.12495632316504,5.12677253398868,5.12820990716574,5.12520834425604,5.12798564374095,5.12587590919559,5.12448546770007,5.12562694346577,5.12559362759769,5.12379103394514,5.12497754767701,5.12533600577103,5.12306760691306,5.1261590928978,5.12868219322144,5.12640971196618,5.12697537522101,5.12568154197519,5.12625689999281,5.12390516612402,5.12469627329737,5.12377140399314,5.12568371063944,5.12840329474196,5.12667097945465,5.12521935052598,5.1270867609989,5.1228204955542,5.12700628369613,5.12535524284234,5.12268172437875,5.12654323819746,5.12579915367655,5.12604769481076,5.12808073643542,5.1270573185962,5.12659535713659,5.12631952350504,5.12624857563007,5.12700227948315,5.12456376334613,5.12519034381045,5.12452949850118,5.12578551298794,5.12645999817991,5.12718468012434,5.12646115102746,5.12758543462117,5.12714267175826,5.12714485696367,5.12647523306225,5.12212138445092,5.12780471863678,5.12607182349674,5.12528722485382,5.12760076420801,5.1257244241808,5.12807499637311,5.1249746475524
9,5.13118590902416,5.13179561493935,5.13130802597512,5.13180286404447,5.13189847922629,5.13349988653574,5.13007379791986,5.13073515449189,5.13103033844267,5.13057227564028,5.13126469258955,5.13194126577862,5.12972629419832,5.1329741823324,5.13204503660794,5.13008728005997,5.13266023432892,5.13198371446682,5.13048631945114,5.13039750429582,5.13261541528262,5.13060460705398,5.13115221205681,5.13376913654169,5.13030512491589,5.13087070442598,5.13255785927534,5.13151801802978,5.133060086907,5.13092992549918,5.12938598172758,5.13247408543231,5.13164857507363,5.13135425469548,5.13103836840514,5.13101052994251,5.13248245304163,5.12936958157317,5.13197029497641,5.13266087619838,5.13139931490043,5.13231670271941,5.13387631205154,5.13117390766112,5.13399663802238,5.13137175266999,5.13088209728625,5.13082608510853,5.13151796104346,5.13040649362342,5.13093664169705,5.13077910985481,5.12909990824722,5.13180495787703,5.13414752495526,5.13263937565839,5.13252060660806,5.13149033774902,5.13195931998967,5.13047815892311,5.13080331188077,5.1303078881706,5.13116941419616,5.13438449529303,5.13173663132509,5.13157350394878,5.13204039472096,5.12888473243377,5.13323013575564,5.13127200253208,5.12894734143742,5.13235850590801,5.13183845894518,5.13139795223962,5.13457525604089,5.13299777841074,5.13276679403815,5.13175121367581,5.13193613376533,5.13287109309633,5.1300802451487,5.13094446234021,5.13074733439405,5.1317407138105,5.13250222154165,5.13259788768018,5.13225837683167,5.1336101079395,5.13267450124542,5.13263838182643,5.13228854875633,5.1290381260814,5.13399681359393,5.13227060908642,5.13071053446939,5.13307291039049,5.13215791916008,5.13344868285524,5.1304879192994
10,5.13717505659242,5.13801299616205,5.13747251573282,5.13788586503882,5.13803829176845,5.13958235554269,5.13617291097059,5.13696310078574,5.1374263668852,5.13680415662037,5.13752383473537,5.13812234866797,5.13612664975572,5.13888223764754,5.13833513150899,5.13647521679743,5.13945640089192,5.13824492535251,5.13629967556306,5.13689550737071,5.13840763711584,5.13700289333461,5.1374080273467,5.14029077417874,5.13599846972692,5.13709008688828,5.13899174713942,5.13787192145882,5.13901663278684,5.137098216748,5.13531083972933,5.13871668399425,5.13762017216288,5.13785847054705,5.1374346103127,5.13783855629789,5.13851432689209,5.13596140120164,5.13876542010734,5.13879862841873,5.13725748789093,5.13847326532361,5.13975911853856,5.13784070107792,5.14086789144118,5.13762823517054,5.13700172776633,5.13698269614337,5.13784778997975,5.13664897242646,5.1370551509881,5.13731500129916,5.13484694818445,5.13789210606449,5.14043462556035,5.13922485547914,5.13889445214928,5.13765753467408,5.13846913747517,5.13703326990742,5.13777265665922,5.136732386588,5.13742948405275,5.14068629170122,5.13792385730782,5.13822650277305,5.13805435529943,5.13513449936053,5.1392442992886,5.13798928931411,5.13538339871959,5.13826164469944,5.13846661009366,5.13756377840764,5.14083229204477,5.13917794418612,5.13904961583959,5.13751236731691,5.13804013546699,5.13897421964731,5.13636727566492,5.13722465476837,5.13694991389168,5.13806396469601,5.13853186692454,5.13871255556054,5.13869435309952,5.14014505001544,5.1387496874739,5.13898991655145,5.13828885755334,5.13566956671914,5.1402735716749,5.13823999684102,5.13727657231489,5.1391109061443,5.13835833300885,5.13993806687895,5.13737630834678
