"t","Exp1Run1","Exp1Run10","Exp1Run11","Exp1Run12","Exp1Run13","Exp1Run14","Exp1Run15","Exp1Run16","Exp1Run17","Exp1Run18","Exp1Run19","Exp1Run2","Exp1Run20","Exp1Run21","Exp1Run22","Exp1Run23","Exp1Run24","Exp1Run25","Exp1Run26","Exp1Run27","Exp1Run28","Exp1Run29","Exp1Run3","Exp1Run30","Exp1Run31","Exp1Run32","Exp1Run33","Exp1Run34","Exp1Run35","Exp1Run36","Exp1Run37","Exp1Run38","Exp1Run39","Exp1Run4","Exp1Run40","Exp1Run41","Exp1Run42","Exp1Run43","Exp1Run44","Exp1Run45","Exp1Run46","Exp1Run47","Exp1Run48","Exp1Run49","Exp1Run5","Exp1Run50","Exp1Run51","Exp1Run52","Exp1Run53","Exp1Run54","Exp1Run55","Exp1Run56","Exp1Run57","Exp1Run58","Exp1Run59","Exp1Run6","Exp1Run60","Exp1Run61","Exp1Run62","Exp1Run63","Exp1Run64","Exp1Run65","Exp1Run66","Exp1Run67","Exp1Run68","Exp1Run69","Exp1Run7","Exp1Run70","Exp1Run71","Exp1Run72","Exp1Run73","Exp1Run74","Exp1Run75","Exp1Run76","Exp1Run77","Exp1Run78","Exp1Run79","Exp1Run8","Exp1Run80","Exp1Run81","Exp1Run82","Exp1Run83","Exp1Run84","Exp1Run85","Exp1Run86","Exp1Run87","Exp1Run88","Exp1Run89","Exp1Run9","Exp1Run90","Exp1Run91","Exp1Run92","Exp1Run93","Exp1Run94","Exp1Run95","Exp1Run96","Exp1Run97","Exp1Run98","Exp1Run99"
1,2.68898357646076,2.6889603003941,2.68881235660112,2.6891601036886,2.68900512252861,2.68865994183222,2.68896105927031,2.68870841688123,2.68858808251989,2.68880919962635,2.68893577344042,2.68895874469385,2.68890210417935,2.68879013745792,2.68887517928209,2.68886075343155,2.68903714292778,2.68854294210548,2.68900635911665,2.68896347012022,2.68853079627857,2.6887718816561,2.689268428661,2.68885704269236,2.68881742329668,2.68878571696112,2.68906361159391,2.68901760259551,2.68907134235358,2.68900204383391,2.68877625527692,2.68873416471525,2.68888385910596,2.6887837169716,2.68898510051181,2.68854499406214,2.68893557081016,2.68886781911109,2.68889462592813,2.68894465266911,2.68852873054987,2.68857538927931,2.68914834727122,2.68920769708169,2.68875424431506,2.68896621648142,2.68864152653994,2.6890136240318,2.68842702005771,2.68897857487732,2.68890184362565,2.68835023811564,2.68887844315427,2.68870367454428,2.68895364048878,2.6890308988439,2.68855779922846,2.68880828988218,2.68911652799679,2.68908521123368,2.68890124131439,2.68903445904587,2.689004539669,2.68878425955654,2.68831495218946,2.68890951423094,2.68870768851295,2.688855843101,2.68907525501531,2.68899869659803,2.68878147228077,2.68903130723582,2.68919873483484,2.68886370623508,2.68866293841199,2.6887358048243,2.68888504283572,2.68854238868313,2.68883179125729,2.6889613580529,2.6887919815662,2.68908194010604,2.68873428680254,2.68900330569625,2.68885579184269,2.68939957392209,2.68894163495476,2.68905157509289,2.68880680920211,2.68880312031607,2.68892882125027,2.6886574632355,2.68886188741073,2.68870835240356,2.68897766752614,2.68888696510245,2.68877307847136,2.68908021550486,2.68839967704957
2,2.69561200440113,2.69486296020036,2.69546707576595,2.69478257439782,2.69547334836685,2.69488546326375,2.69491690938169,2.6953843233922,2.69479946781074,2.69498257724832,2.69575788974302,2.69448390091957,2.69514504435261,2.69573447510865,2.69556228749966,2.69509251843969,2.6953283283996,2.69411592717309,2.69489698011769,2.69514762999186,2.69521485351456,2.69522614564931,2.69537681347399,2.69467729857088,2.69511548335874,2.69510131333987,2.69546911384658,2.69478920350402,2.69486959028524,2.69481261384012,2.69470351317284,2.69512573123808,2.69549223413607,2.69531464362308,2.69527951795805,2.69500305654833,2.69493348641956,2.69515812176702,2.69529129484356,2.69508335112439,2.69436741308425,2.69523756829679,2.69550962518498,2.69570694788138,2.69509345178015,2.69520625649409,2.69451700042454,2.69526396785895,2.69458229787471,2.69518268646271,2.69545021073567,2.69412536934733,2.69538733778623,2.69448756972294,2.69525733021911,2.6949938303061,2.69468099124982,2.69519730171661,2.69525895837454,2.69516814370749,2.69485025090694,2.6956782279154,2.69495859144951,2.69497137788062,2.69374589318388,2.69509914488615,2.69513061609326,2.69508588827354,2.69530176768617,2.69516653157549,2.69487277855319,2.69524592966942,2.69490753185439,2.69498380959319,2.69469053538514,2.69513349534102,2.69526995949822,2.69523414294016,2.69521540795402,2.69573220918633,2.69460147423496,2.69506684183178,2.69518515255964,2.69501086209709,2.6951505164262,2.69581132335582,2.69520931657386,2.69544435010354,2.69512482292644,2.694705075247,2.69499774575594,2.69435427112365,2.6947649336729,2.69458360133769,2.69512517060677,2.6947912095589,2.69458922893563,2.6953540464506,2.69436882127664
3,2.70541725144389,2.70389159000745,2.70475388446357,2.70404240083121,2.70439169239785,2.70432831084347,2.70437406345992,2.70482557486644,2.7041684929573,2.70444210501366,2.70537830059403,2.70418185189068,2.70424561699779,2.7054753285454,2.70497896408742,2.7050588341534,2.70514396161192,2.70374781705991,2.70443351594446,2.7044533171337,2.70455628405762,2.70464742453281,2.70554899794774,2.70374005175157,2.70400297324065,2.70435518346429,2.70435763202358,2.70389683162106,2.70439553870118,2.70401984050327,2.70399221664881,2.70491160722795,2.70514206659031,2.70540476938508,2.70460833903427,2.70424920663959,2.70440930523917,2.70424379564935,2.70446253746441,2.70447724900657,2.70383691456318,2.70498971187798,2.70523101903259,2.70503879817596,2.70436664472572,2.70493005012084,2.70386016042527,2.7044890386502,2.70409230276992,2.70498440886975,2.70554452362862,2.70347971519266,2.70476456558375,2.70419974109869,2.70513557001414,2.70470048221816,2.70431677370038,2.70487497306447,2.70471571771286,2.70460181673849,2.70462383872921,2.70515923547774,2.70480152254816,2.70371461685221,2.70288849426177,2.70487235478373,2.70441231689048,2.70413083548784,2.70492902119528,2.70451446897752,2.7047371740737,2.70479118530271,2.70454657043245,2.70393444108197,2.70382430755097,2.70502125941354,2.70488940770096,2.7050329412154,2.70437480674897,2.70557914793784,2.70373733742184,2.70506702451752,2.70498306191809,2.7048267887638,2.7051181023487,2.70569776518329,2.70411271937147,2.70457904602867,2.70492590853479,2.70446017685994,2.70513953178777,2.70375553672199,2.70459557819683,2.70421772932845,2.70473830229089,2.7048335469578,2.70364719918821,2.70436468642308,2.70394491298674
4,2.71466591803769,2.71446797330929,2.71499808839422,2.7150374788179,2.71504756943857,2.71437590061516,2.71532680230223,2.71510685844196,2.71487850657289,2.71509847061044,2.71497799770314,2.71497711013768,2.71403728862597,2.71504265081853,2.71470214740511,2.71471807938731,2.71513382283887,2.71434949597591,2.71410375214668,2.71432441436935,2.71438370670795,2.71561702534856,2.71660591770614,2.71399079334824,2.71398766341194,2.71456699171388,2.7141423899201,2.71417005821363,2.71522518822542,2.71477056834446,2.71436773000152,2.71501775897315,2.71484300953444,2.71589345932765,2.7145583026882,2.71389164020665,2.7154105515148,2.71395364726101,2.7147861767245,2.71446183838822,2.71404262184494,2.71453246151926,2.715547636677,2.71613955701434,2.71473608506858,2.71476806677969,2.71402085097238,2.71453364748231,2.71377308080523,2.71477224660529,2.7159844125686,2.71331327694505,2.71522725431924,2.71403015715163,2.71524032415479,2.71463057697223,2.7138057844439,2.71559647457663,2.71459785125566,2.71403492032846,2.71545595823073,2.71508531803487,2.71418277345415,2.71346456790042,2.71296143238184,2.71399709534549,2.7155212530541,2.71473100095026,2.7155453228621,2.71446388011714,2.7149066804433,2.71449703119033,2.71498697101512,2.7135706375519,2.71423840937806,2.71550479721012,2.71566227088321,2.71556832763274,2.7148419198775,2.71671697880119,2.71438408300817,2.7157796939583,2.71512982435819,2.71517818169449,2.71593749526945,2.71560086232756,2.7138937284627,2.71528390204994,2.71443580970624,2.71513109651722,2.7152054356367,2.7139399848096,2.71519770571565,2.71354141684862,2.71473896991843,2.71588490836995,2.71473358251054,2.71462912448251,2.71455336158435
5,2.72586423811674,2.72520272854087,2.72690324889516,2.72581913017998,2.72539029571324,2.72529433832128,2.72735131736036,2.72608094128353,2.72637019890261,2.72763552708424,2.72532610631216,2.7254190395772,2.72555691922066,2.72682174049873,2.72599951524717,2.72704913694111,2.72680081760924,2.72621321813965,2.72535728908198,2.7263257679335,2.72575449825309,2.72635185230433,2.72850222671449,2.7258178066723,2.72591583131219,2.72479617097314,2.72529830843878,2.72744408891644,2.72504230198418,2.72566314843087,2.72679281330075,2.72763824382999,2.72574392771783,2.72762523296889,2.72634670344981,2.72445573040474,2.72672742925407,2.72747899689184,2.72542095551241,2.72442836182542,2.72605869410138,2.72605130687357,2.72667520897633,2.72768788127552,2.72692741411573,2.72577320399773,2.72446501506816,2.72620436515973,2.7246281972676,2.72573068645155,2.72856831582305,2.72427276152772,2.72603182037384,2.72655764704677,2.72752155027334,2.72572500586383,2.72493508855689,2.72667651983443,2.72518623664074,2.72660225923101,2.72731824106351,2.72618985001749,2.72567987876779,2.72435986751206,2.72456672707544,2.72570855268354,2.72625401763088,2.72440935927178,2.72720901720331,2.72579560227626,2.72636759461553,2.72611692165179,2.72580103433497,2.72581676458479,2.7255142014509,2.72625337675752,2.72655116695613,2.72626526720425,2.72559777336675,2.7281915151408,2.72648683001291,2.72621989144086,2.72677503689757,2.72615458965407,2.72609427856496,2.72792023278259,2.72476692729354,2.725670572699,2.72607845067774,2.72613263906304,2.72604133833287,2.72485387151738,2.72680664639147,2.72546521376712,2.72598734364551,2.72760861957726,2.72630955691755,2.72533242793438,2.72622371355119
6,2.72839823977268,2.72655317549867,2.72950546838179,2.72802339516248,2.7280022050493,2.72870942829071,2.72690982340312,2.72818779445924,2.72888268588532,2.72827856071214,2.72840723539185,2.7287281495898,2.72686991602051,2.7305169587723,2.72685749183226,2.7277384908248,2.7306713262571,2.72794690396181,2.72729082398261,2.72824279235607,2.72968736788952,2.7272274140164,2.72915920113239,2.72734798206003,2.72680159186216,2.7286622357299,2.72664999151211,2.72651955800733,2.72828157320839,2.72708838833026,2.72578799697718,2.72949168763007,2.7289713886355,2.72920956044828,2.72912068902812,2.72799160219745,2.72954053028163,2.72801735393043,2.72810939938091,2.72786378803269,2.72755953687375,2.73030339288237,2.72967717251414,2.72910239894,2.72988984412859,2.72898282407319,2.72663668463714,2.72781253782881,2.72758007929855,2.72803024797468,2.72799860092735,2.72644547216088,2.72927357879405,2.73018991705366,2.72922457832612,2.72849301561872,2.72926514808291,2.72843642687535,2.72727785288428,2.7258794183188,2.72880681704536,2.72761726236413,2.72685174893885,2.72640615095448,2.72680026309394,2.72818441943466,2.72812695784928,2.72778332702952,2.72916594016799,2.72814727049524,2.72653274863628,2.72761793878954,2.72874358431037,2.72722294288389,2.72701213307945,2.72952956133916,2.72784411489372,2.72893316923006,2.72783356628611,2.72838773004117,2.7280725615323,2.72764602426975,2.73022150831216,2.73005781019487,2.72844787594612,2.72867516729346,2.72736431419406,2.72916155209355,2.72854426727658,2.72943727975208,2.72870086006292,2.72663902977494,2.72932581188552,2.72703205229131,2.72935052543343,2.73076462348331,2.72892898582171,2.727256211135,2.72939501439089
7,2.73114903031523,2.72923749525023,2.73365737504659,2.73173516451439,2.72812049675109,2.73330414780015,2.72619430381124,2.73236128357587,2.7307796470762,2.73085481658951,2.73129878636544,2.73257618987218,2.73139597499685,2.73156843926427,2.72915721138971,2.73185710532531,2.73473029375815,2.73083180617706,2.72643587435295,2.72980602243008,2.73286439113532,2.72987367765432,2.73302882886909,2.72850806940129,2.72853185871748,2.73112981571445,2.72875110896254,2.72797749077152,2.72833687848911,2.72807296021572,2.72690887959297,2.73283674135334,2.73053111912635,2.73146789546602,2.73176262096434,2.73072975582814,2.73232010858922,2.73314909976167,2.73102448487312,2.7304711625786,2.73043926752365,2.732039782632,2.73175244394032,2.73224529243327,2.73170080982984,2.72913692540736,2.72908944579593,2.73007320372331,2.73355536696726,2.73030997458641,2.73027762585361,2.72901412998262,2.73155775658618,2.7328799885602,2.73154764298414,2.73005864738576,2.73194290420174,2.73197732186724,2.72898965334618,2.72877680609005,2.73411336003926,2.7309756425613,2.72804820462919,2.72752706055664,2.7300926229356,2.72855555571593,2.73059610164638,2.73080616710185,2.73192064467475,2.73007974651967,2.73013998198805,2.72726756102875,2.73342505590265,2.72879020202439,2.72830132968225,2.73020280577334,2.72814124062343,2.73072390382297,2.72974364663583,2.73137275266691,2.73118235942891,2.72929426307336,2.73765294139784,2.73139315184609,2.73182285847118,2.73087301063831,2.72978174970629,2.73355479560796,2.73031556441891,2.73047672052961,2.73151454250242,2.72849107825875,2.7323769127995,2.72886747781434,2.7319336233187,2.73399151812038,2.73168933996982,2.72878056340591,2.73140540102106
8,2.72525884711843,2.72259782387887,2.72689613513233,2.72623189526323,2.72446764629175,2.7267297253936,2.72254482089417,2.72550514277738,2.72424646757982,2.7239464034427,2.72474761630027,2.72682582137539,2.72395881514133,2.72544948836079,2.72275558098264,2.72493069969854,2.72685783463041,2.72469468835463,2.72273898221176,2.72341662901438,2.7265877507726,2.72407937293077,2.72609310879225,2.7234164439768,2.72401120286102,2.72452824565597,2.72384789853421,2.72297827271203,2.72429651875715,2.72269749228397,2.72151566946352,2.72575958029712,2.72580879644966,2.72447122718088,2.72628340732196,2.72352710240117,2.72660076966669,2.72424895180629,2.72493901258743,2.72481629856614,2.72416433906268,2.72617985725281,2.72744066554823,2.72564353671945,2.72693965701046,2.72604059516115,2.7236579529312,2.72336594560417,2.72534439597176,2.72307974970897,2.72565402318523,2.72392571550313,2.72480680867332,2.72620298976116,2.72514973866307,2.72372264157302,2.72688341033139,2.72432093273954,2.72351282879799,2.7223279440812,2.72502453886873,2.72435857112842,2.72301420069398,2.72273249171947,2.72490722379687,2.72309342659034,2.7246448031521,2.72327639115673,2.72619713391185,2.72452471305593,2.72254530569045,2.7231868685702,2.72488734935244,2.72444405690887,2.72291276544442,2.72501430266538,2.72491968305392,2.72589318956729,2.72430289346571,2.72619482844972,2.7249779780325,2.72399281646848,2.72847700451855,2.72613089577729,2.72498321416838,2.72583532725164,2.72447059090626,2.72623961807079,2.72613701711848,2.72579693201681,2.7258971183887,2.72084035055178,2.72477471120473,2.72302856238958,2.72524480554515,2.72818138946753,2.72503065592564,2.72420027322367,2.72492035658484
9,2.72278961223172,2.72167722440715,2.72608958099438,2.72520627425803,2.72375649812135,2.72587999789489,2.72186664599507,2.72454834853055,2.72321424912566,2.72327357654635,2.72369745960006,2.7263756205188,2.72235618344933,2.72506248860956,2.72192588719658,2.72557115513162,2.72725604525563,2.72361780936285,2.72196179996306,2.72131173352979,2.72510667867121,2.72395633944326,2.72532269496453,2.72355185324615,2.72285016092257,2.72355006860059,2.7232655191053,2.7226570883979,2.72434006335179,2.72232808265638,2.71970916166388,2.7244379368037,2.72420934837174,2.72354896843172,2.72568683427375,2.72193290212867,2.72480071483305,2.72276654864559,2.72429992259867,2.72346654498579,2.72275615836865,2.72601018602152,2.7276138702678,2.72471854638961,2.72600066221646,2.72451026438256,2.72294931020193,2.72238118087698,2.72438814757287,2.72157379882644,2.72587953440809,2.72349511279063,2.72403645588911,2.72511924082347,2.72509771638351,2.72228934223731,2.72638174185411,2.7232354423245,2.72305712839442,2.72164126041854,2.72274463673071,2.72331772354656,2.72261132035501,2.72131779333455,2.72454174038061,2.72221123559117,2.72457572400817,2.72202802253802,2.72484530677504,2.72402756199267,2.72203735842991,2.72234034241145,2.72446463587431,2.72485383121877,2.72208573647402,2.72372134233049,2.72402272942231,2.72507185955336,2.72312362607159,2.72603978305037,2.72380219406605,2.72344886505265,2.72743745854408,2.72420192136392,2.72416783462066,2.72547988836446,2.72435425826304,2.72501398780373,2.72606808020918,2.72493828509658,2.72540208666076,2.71848964766212,2.72421014577556,2.72257180394952,2.72410987563036,2.72711585472091,2.72461277794048,2.72435099486593,2.7233480004234
10,2.73026196268142,2.72744047605883,2.73229328402489,2.73181363960862,2.72915026336134,2.73127402973846,2.72723579702872,2.73113786939544,2.73052437356312,2.73001257690647,2.73075331875316,2.7327546440328,2.72873497446279,2.73009397234863,2.72837471119245,2.73127279475842,2.73229061206297,2.73064260778005,2.72669313062813,2.72891747964691,2.73108633492731,2.73001133200309,2.73250969249617,2.72843348813223,2.72905931234018,2.72949035856369,2.7284338860627,2.72942499876243,2.72895800509495,2.72901593191127,2.7264736105911,2.73017251605592,2.73039885989293,2.73066903841499,2.73142204838273,2.72861579095257,2.72965203388721,2.73003361614791,2.73142121078315,2.7291163738749,2.72893991084765,2.73169148555136,2.73279153251513,2.7310246058312,2.73164180148233,2.7287621386531,2.72856427634745,2.7281329230496,2.73118585852542,2.7279903682349,2.73178557603623,2.72813396385218,2.73017317480424,2.73063254960002,2.73032096578235,2.7286734056174,2.73061662597865,2.73006311739501,2.729179232304,2.72894247339426,2.72897836079768,2.7292088275554,2.7279478593044,2.72808941352631,2.72871816110066,2.72776225736541,2.73074337177374,2.72910821430476,2.73144539548167,2.73007965355139,2.72911113050894,2.72811100768308,2.73161858750333,2.73004665679445,2.72955356422396,2.72868252957204,2.72936605001405,2.73075332176916,2.72889872064321,2.73158238230865,2.72924599022887,2.72917540981394,2.73485194676569,2.72997951867151,2.72969070197767,2.73074497052878,2.7302085957961,2.73069514928739,2.72998219072442,2.72955835980988,2.73120706373082,2.72676615263339,2.72982807775051,2.7288959489018,2.72969702067444,2.73223050879769,2.73069518766666,2.72898453672494,2.72924759040412
