"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,0.00248976228628333,0.00247895419837482,0.00247115419281108,0.00248055263547833,0.00248735389503587,0.00248976228628333,0.00248134492690608,0.0024867710029517,0.0024747615997796,0.00248653095989389,0.00248976228628333,0.00247748792470507,0.00248252910661712,0.00248572936152843,0.00248582955317021,0.00248976228628333,0.002487735103914,0.0024878909738349,0.00248292261098463,0.00248552197341865,0.00248976228628333,0.00248222369304882,0.00247752559898787,0.00248186741639761,0.00248256865410957,0.00248976228628333,0.00248389717623055,0.00248624307844935,0.00248091479455132,0.00248298602616341,0.00248976228628333,0.00248860925625931,0.00247300207672268,0.00248478762555249,0.00248997735006616,0.00248976228628333,0.0024791406844406,0.00248704362233651,0.00247836493104606,0.00247799192521801,0.00248976228628333,0.00247589473057706,0.00248323433783121,0.00248464461165126,0.00248700981472347
2,0.00249244976888911,0.00247745280563486,0.00246844240337809,0.00248456698090825,0.00248694742204804,0.00249244976888911,0.0024807513124109,0.00248925136817308,0.0024721391964545,0.00248086514643999,0.00249244976888911,0.00247920746291163,0.00247364261691398,0.00248192580251824,0.00248274871687955,0.00249244976888911,0.00249001438296819,0.00249433554827609,0.00248673945909427,0.0024818690397141,0.00249244976888911,0.00248624055851013,0.00247122993811294,0.00248123097610216,0.00248433678652242,0.00249244976888911,0.00247551762645586,0.00249241230365538,0.00247660984914427,0.00248739978091204,0.00249244976888911,0.00248094165690077,0.00248318405643509,0.00249787291540232,0.00249176080559291,0.00249244976888911,0.00248554950459383,0.00250015431197455,0.00247594646287878,0.00247656747670061,0.00249244976888911,0.00246582037212384,0.00248776859375131,0.00248274895121887,0.00248808385307128
3,0.00249366686402443,0.00247998402634856,0.00247416556903766,0.00249987206318453,0.00248576274670262,0.00249366686402443,0.00248059713159713,0.00248347329255391,0.00248276192417775,0.00248064566019776,0.00249366686402443,0.00247844858037028,0.00247132151807625,0.00248004337031831,0.00248297383635138,0.00249366686402443,0.0024866334628553,0.00249568840875851,0.00248703984014597,0.00249248626596021,0.00249366686402443,0.00249025181989636,0.00246770873342512,0.0024746411797142,0.00247960029253599,0.00249366686402443,0.00247338709480316,0.00249934821731963,0.00247466256491251,0.00249641957952518,0.00249366686402443,0.00249233275754294,0.00249155940466085,0.00249621790367822,0.00249283890191797,0.00249366686402443,0.0024931699948367,0.00250391702935101,0.00248952436091154,0.00247961493718355,0.00249366686402443,0.00246876659221179,0.0024831250122979,0.00247610736489885,0.00249119402701463
4,0.00249778304995586,0.00247704895782411,0.00247642819661113,0.00249124497113256,0.00248023686651417,0.00249778304995586,0.00247829346584697,0.00247077511862021,0.00248654111411973,0.00248126084680991,0.00249778304995586,0.00248669674833464,0.00247788647842238,0.0024770690481744,0.00247648730243042,0.00249778304995586,0.00248626382825886,0.00249440379575269,0.00248813274704952,0.00248527980859184,0.00249778304995586,0.00249177446522619,0.00246833859933023,0.00247726827512716,0.00247991995821407,0.00249778304995586,0.00246856546253942,0.00248993330326322,0.00247979983680708,0.00249870876766444,0.00249778304995586,0.00250082734726727,0.00248494094279532,0.00250454532735585,0.00250631110121261,0.00249778304995586,0.00248364629694192,0.00250101294404365,0.00248166926721174,0.00248307896201124,0.00249778304995586,0.00246683916700551,0.00248466992506739,0.00248872840669052,0.00249049144167103
5,0.00250310062279684,0.00247310967631986,0.00247425917745366,0.00249694731940183,0.00247880449563255,0.00250310062279684,0.00247347586706745,0.00246441794755603,0.0024846114308108,0.00249217270212311,0.00250310062279684,0.00250068457307489,0.00246911589947395,0.00247723728641031,0.00248145674865169,0.00250310062279684,0.00248968912892155,0.00249277376991048,0.00249059847486577,0.0024779984537391,0.00250310062279684,0.00249393110591468,0.00246979422444083,0.00247207893141569,0.00248266622982074,0.00250310062279684,0.00246165722943109,0.00249017663425259,0.00247986655365777,0.00248705672918354,0.00250310062279684,0.00250229624554434,0.00249656105397861,0.00250533872187939,0.00249687704968881,0.00250310062279684,0.00248534547942571,0.00250208627716665,0.00249314406816196,0.00247448609346438,0.00250310062279684,0.00246630841667919,0.00248046836944444,0.00247588436263615,0.00248415627090613
6,0.00250191648695017,0.00246933933277954,0.00247709613955097,0.00249760240522905,0.00249423221843974,0.00250191648695017,0.00247058710117798,0.00246257003183291,0.00248357933380638,0.00249583677223576,0.00250191648695017,0.0025018826055496,0.00247359975217855,0.00247777998430442,0.00248144985513923,0.00250191648695017,0.0024844683091686,0.00247951752022047,0.00248214742214192,0.00247911665203084,0.00250191648695017,0.00250224999647651,0.00247567050580771,0.00247901326514389,0.00248980991611731,0.00250191648695017,0.00245464481989682,0.00249050783952573,0.00248032768720398,0.00247989547085824,0.00250191648695017,0.00250467130487804,0.00248921750612109,0.00251515574874836,0.00249139402312375,0.00250191648695017,0.00248887042061869,0.00250324120602653,0.00250111560169784,0.0024785580244872,0.00250191648695017,0.00246378378150037,0.00248715674648908,0.00246999617949961,0.00247769438797166
7,0.00248906708828121,0.00246761754095215,0.00247744535319743,0.00249733120259793,0.00248834799210919,0.00248906708828121,0.00246957636500025,0.00245368461403099,0.00248575041887499,0.00250826958312991,0.00248906708828121,0.00250243828902665,0.00247003079267342,0.00245995428294624,0.00247644956256922,0.00248906708828121,0.00248476734286652,0.00247363466824137,0.0024765537636884,0.00248319726273764,0.00248906708828121,0.0024970325345978,0.0024740800440334,0.0024719543869248,0.00248921630432901,0.00248906708828121,0.00245465525914303,0.00249170466742806,0.00247648085191007,0.00247534375149103,0.00248906708828121,0.00250145404764712,0.00248747911461587,0.00251242433477706,0.00248940704917422,0.00248906708828121,0.00248328024889104,0.00250746257510892,0.00250703679252445,0.00248861440668492,0.00248906708828121,0.00247028043876654,0.00250308060167532,0.00247710096147018,0.00248134010272634
8,0.00249808969603323,0.00247998022506991,0.00247619225211425,0.0025063164435058,0.00249093752580131,0.00249808969603323,0.00247000077714222,0.00244788223942844,0.0024819355902882,0.00251855948974522,0.00249808969603323,0.00249917098112398,0.00246688971545272,0.00244758755453769,0.00247768974951,0.00249808969603323,0.00248338457161513,0.00247376339651667,0.00248562155506687,0.0024858020003047,0.00249808969603323,0.00250188700280902,0.00247695639039543,0.00248874511637387,0.00249711229740557,0.00249808969603323,0.00246014457118652,0.00248239150902476,0.00246970796851107,0.00247362048804986,0.00249808969603323,0.00250347303449468,0.00248376524353599,0.00251039294051591,0.00248733143938037,0.00249808969603323,0.00249109885621952,0.00250212719012533,0.0025100483343377,0.00246639174393637,0.00249808969603323,0.00246420220159291,0.00250456283714456,0.00247805248048702,0.00247795316281497
9,0.002502473722822,0.0024752059358787,0.00248020589300335,0.00250273912403539,0.00249203068784334,0.002502473722822,0.00246064522830805,0.00244697600483584,0.00247597161222296,0.0025212241859179,0.002502473722822,0.00250349017298548,0.00247081504813397,0.00244109991243467,0.00247640822599154,0.002502473722822,0.00249472674327023,0.00247616533509537,0.00248845451454654,0.00248595427343872,0.002502473722822,0.00250009356658377,0.00248417732961132,0.00248926395421138,0.00250168726517953,0.002502473722822,0.00245960932532341,0.00247279808140943,0.00246366670570284,0.00245815241441971,0.002502473722822,0.0025015480106816,0.00248033679034169,0.00250356071021161,0.00248052650259658,0.002502473722822,0.0025039207433455,0.00250332985312672,0.00251455923326655,0.0024705040374149,0.002502473722822,0.00246338242692559,0.00249591859475181,0.00246879985293167,0.00247945702524696
10,0.00249695332643565,0.00247433805051094,0.00248140555320195,0.00250967342049187,0.00249190230742115,0.00249695332643565,0.00245301925738761,0.00244492068689181,0.0024718556994242,0.00252101809670986,0.00249695332643565,0.0025075438065252,0.00246618936879803,0.00245410151619284,0.00247891124166764,0.00249695332643565,0.00249018909533831,0.00247306727720463,0.00249552673980164,0.00248709640775401,0.00249695332643565,0.00250403839609479,0.00248644557532683,0.00249817727885764,0.00250271916748094,0.00249695332643565,0.00245117667110187,0.00247363081121037,0.00247466205861107,0.00246048644664191,0.00249695332643565,0.00250447989206376,0.00248324485351839,0.0024975510744422,0.00248350199145137,0.00249695332643565,0.00249795035382537,0.00250454790264069,0.0025203911984827,0.00246371754893608,0.00249695332643565,0.00246685167485021,0.00249560676277836,0.00248096884411583,0.00247943331986154
