"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,1.03229193517736,1.03225739770328,1.03231153171418,1.0321057445609,1.03216850564101,1.03229193517736,1.03220924323631,1.03221111004882,1.03217190880426,1.0319519533466,1.03229193517736,1.0323787092314,1.03228790569797,1.03210265437256,1.03238260888728,1.03229193517736,1.03191801496771,1.03210307725197,1.03223624598792,1.03231227272039,1.03229193517736,1.03225246700025,1.03234494887971,1.03219467887047,1.03236545445257,1.03229193517736,1.03230377276379,1.03201724146608,1.0322660340182,1.03230997604327,1.03229193517736,1.03202885370602,1.03209818747652,1.03207757523478,1.03225343521227,1.03229193517736,1.03194423249791,1.03217751349792,1.03250676895085,1.03225853720863,1.03229193517736,1.03197705229134,1.03232443543952,1.03214817605578,1.03233334915679
2,1.03549004982419,1.03375763262349,1.03472617210587,1.03401045224607,1.03442127067602,1.03549004982419,1.03419918794779,1.03579348940777,1.0341414437467,1.03490988917347,1.03549004982419,1.03407782223643,1.03599098562421,1.03352891433608,1.03507642131691,1.03549004982419,1.03446227856173,1.03329247108682,1.03469794059381,1.03434595346352,1.03549004982419,1.03425772783233,1.03566450011554,1.03458257186744,1.03486629316219,1.03549004982419,1.03467681135633,1.03430146932814,1.03321935526003,1.03487724681552,1.03549004982419,1.03406860709218,1.03564564031536,1.03249149145163,1.0354193552129,1.03549004982419,1.03455315429429,1.03451884082843,1.03399738325362,1.03454898749663,1.03549004982419,1.03444139749759,1.03527946480022,1.03503438573091,1.03488201202562
3,1.03738188099314,1.03709459933621,1.03708667411973,1.03782483434352,1.03809654987748,1.03738188099314,1.03733037048517,1.0374425957814,1.03637425282983,1.03742790992818,1.03738188099314,1.03765089267622,1.03741237639636,1.03758763019817,1.037471774624,1.03738188099314,1.03706736538825,1.03838201203223,1.03854674381287,1.03706417252061,1.03738188099314,1.03742487631805,1.03777568359683,1.0378813572838,1.03660740408715,1.03738188099314,1.03783782905309,1.03653809277251,1.03734660764095,1.03811592997862,1.03738188099314,1.03653127690741,1.03643589578217,1.03689424890248,1.03793875741102,1.03738188099314,1.03781889746826,1.03758807007333,1.03713686117073,1.03873524733896,1.03738188099314,1.03737956294345,1.0380826156093,1.03769925353648,1.03880135297585
4,1.04163989853514,1.03860746764341,1.03974121537971,1.03996743459331,1.03796320415059,1.04163989853514,1.03930534678164,1.03882875064575,1.03984800940114,1.04081927821474,1.04163989853514,1.04061028575746,1.04065455666368,1.04019872121447,1.04144738315851,1.04163989853514,1.03906309493183,1.04104095405209,1.03970684442667,1.03999016532234,1.04163989853514,1.04036400025402,1.040363640037,1.03959705672829,1.04012369326816,1.04163989853514,1.03981262129964,1.04159082535051,1.04024845560989,1.04043184550944,1.04163989853514,1.03874125223128,1.03927502892059,1.04136092008088,1.03942994469968,1.04163989853514,1.04091181328762,1.0391561097506,1.04079243023904,1.04068034437341,1.04163989853514,1.04087263722778,1.0395680873219,1.04113294409628,1.03951862328491
5,1.04380203731084,1.04493260035933,1.04468855673634,1.04119361259357,1.04117589397232,1.04380203731084,1.04021068021657,1.04094056655914,1.03958177295339,1.04301726890758,1.04380203731084,1.04298020741368,1.04446803862925,1.04336872006652,1.04144951259289,1.04380203731084,1.0419688489722,1.04450206182359,1.04208678984873,1.03958069227559,1.04380203731084,1.03901879935503,1.04299791713417,1.04331921505756,1.04217721796888,1.04380203731084,1.041164648949,1.03898208955168,1.04234733047399,1.04303440454349,1.04380203731084,1.04168073605281,1.04276278577681,1.04323784837368,1.04291990448553,1.04380203731084,1.04241620860638,1.04458705957993,1.04261408472965,1.0419173430181,1.04380203731084,1.04127764231449,1.04104443481462,1.04196237612542,1.04005681631791
6,1.04749810894872,1.0453176757932,1.04759654798657,1.0476028775012,1.0468498388217,1.04749810894872,1.0478787880971,1.0475496427485,1.04676445345542,1.04631103835925,1.04749810894872,1.04593534979579,1.04747212296771,1.04748857595631,1.04697532390511,1.04749810894872,1.04574147694373,1.04581473340379,1.04621477194314,1.04792536342164,1.04749810894872,1.0454900547685,1.0458274226397,1.04764308447909,1.04658766977127,1.04749810894872,1.04653960309741,1.04717696000123,1.04578844676075,1.04708637012143,1.04749810894872,1.04756726388781,1.04650954569797,1.04725286962869,1.04704607674089,1.04749810894872,1.04602739440866,1.04720403330946,1.04614523480366,1.04685386669175,1.04749810894872,1.04713086093202,1.04755779311476,1.04651979982402,1.04477374291494
7,1.04577859574869,1.04345798496528,1.0460259034177,1.04352268145597,1.04626630847686,1.04577859574869,1.04528861694942,1.04454641522609,1.04543578521433,1.04400940917303,1.04577859574869,1.04534001212027,1.04685794338354,1.04356086854726,1.04504519483259,1.04577859574869,1.04282640862074,1.04526793841048,1.04563614228531,1.04497088943149,1.04577859574869,1.04468046220917,1.04593515726202,1.04502615072083,1.04656880530785,1.04577859574869,1.04451271410769,1.04366458989505,1.04576339026417,1.04718467368966,1.04577859574869,1.04491921540839,1.04574733975537,1.04703231549817,1.0459212254005,1.04577859574869,1.04713457946618,1.0446969680531,1.04687054048045,1.04572297544913,1.04577859574869,1.04335661565018,1.04431323946001,1.04398684054732,1.04442148191097
8,1.04747452584817,1.04620501023657,1.0470947896458,1.04653839808119,1.04771475297525,1.04747452584817,1.0466893096282,1.04768064314759,1.04703684298269,1.04601500187013,1.04747452584817,1.0461106278438,1.0462372145412,1.04689832910207,1.04671978898995,1.04747452584817,1.04668434964269,1.0468793064612,1.04492637165791,1.04604956667788,1.04747452584817,1.0463895082568,1.0469603897448,1.04715016660276,1.0459087643696,1.04747452584817,1.04685332130462,1.04673011157595,1.04772406438232,1.04829849766337,1.04747452584817,1.04568594318217,1.04722792635162,1.04678774924371,1.04842605588624,1.04747452584817,1.04622637964126,1.04838352839858,1.04732909121109,1.04812775745835,1.04747452584817,1.04701367964131,1.04625370124415,1.04739829052198,1.04542426727605
9,1.04704830571998,1.04584798747466,1.04709573776299,1.04595674102749,1.04628018989824,1.04704830571998,1.04697274000659,1.04699424599406,1.04716294539122,1.04703481200581,1.04704830571998,1.04567718978992,1.0473088544628,1.04649404770091,1.04757868276321,1.04704830571998,1.04592968946357,1.04722260571433,1.04456912877293,1.04565431892191,1.04704830571998,1.04571725724606,1.04725545654417,1.04636658509089,1.04628923130459,1.04704830571998,1.04725595653343,1.04728302268084,1.0479526215704,1.04728830460226,1.04704830571998,1.04656645028629,1.04672964123809,1.04653292155577,1.04723347297358,1.04704830571998,1.04673866747822,1.04894742960071,1.04751319341614,1.04796781623515,1.04704830571998,1.04596400044559,1.04560757619473,1.04707947000251,1.04658895035472
10,1.04566878370164,1.04627553644563,1.04561845538925,1.04485065985863,1.04832249427578,1.04566878370164,1.04446086190453,1.04735310217063,1.04536860129028,1.04584976241062,1.04566878370164,1.04274883753563,1.04736339825409,1.04538492764706,1.04528317006592,1.04566878370164,1.04444592168793,1.04657865452546,1.04438856902606,1.04471881874198,1.04566878370164,1.04616435094591,1.04596486114987,1.048306458858,1.04472096244836,1.04566878370164,1.04490584502713,1.04702794946915,1.04545908361169,1.04593561529562,1.04566878370164,1.04578412671822,1.04512776276127,1.04504955410054,1.04719778110334,1.04566878370164,1.0454005489491,1.04632682958678,1.04494084400129,1.04788396914886,1.04566878370164,1.04490713559399,1.04891413496933,1.04503996980659,1.04492290899341
