"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,5.03786340831149,5.0370700192391,5.03708788518694,5.03756354938225,5.03741759669347,5.03786340831149,5.03773550330207,5.0372376916217,5.03773351009746,5.03782971691206,5.03786340831149,5.03762656959096,5.0374865332034,5.03755174309166,5.0376473765852,5.03786340831149,5.03718901983107,5.03757334270919,5.03708405433543,5.03782137135737,5.03786340831149,5.03672154214684,5.03718526027233,5.03728551045532,5.03730271150151,5.03786340831149,5.03761749550555,5.03706439661321,5.03713605978955,5.0382260803104,5.03786340831149,5.03725008553285,5.03781006617874,5.0367814310327,5.0375716233204,5.03786340831149,5.03754034711449,5.03754800687039,5.03724385443466,5.03790766788683,5.03786340831149,5.03774100168655,5.0370774846233,5.03740151873736,5.0371754779859
2,5.0743117584213,5.07333045797362,5.07392218889972,5.07438359095652,5.07471362527187,5.0743117584213,5.07491529716776,5.07437312659614,5.07427832159653,5.07486162742337,5.0743117584213,5.07455381961788,5.07409411221924,5.07461168835134,5.07425639939898,5.0743117584213,5.07450493080179,5.07425570358118,5.07382920147171,5.07454346557509,5.0743117584213,5.07349083674409,5.07396334600455,5.07457893914568,5.07404121498758,5.0743117584213,5.07436691005437,5.07431885385869,5.07375999691529,5.0748748644798,5.0743117584213,5.07366968949194,5.07468019569016,5.07323366049317,5.07440687819818,5.0743117584213,5.07369143885459,5.07413189550194,5.07426287455125,5.07505473381492,5.0743117584213,5.07472307773902,5.07417846986903,5.07449462233396,5.07353006805188
3,5.10962770684904,5.10917260762498,5.11051308363866,5.10921857893399,5.10983159743079,5.10962770684904,5.11038940775684,5.11005615944921,5.1104925283158,5.11109215443827,5.10962770684904,5.11040873233018,5.10891078712116,5.11042036632291,5.10955403806588,5.10962770684904,5.11017318400371,5.11036314369872,5.10933562176518,5.11039657659295,5.10962770684904,5.10867462698546,5.10945528106196,5.11038345229816,5.11001975828149,5.10962770684904,5.11021359487269,5.11037656532076,5.10934597180389,5.11009348158785,5.10962770684904,5.10921175225507,5.11053233447921,5.10816019547797,5.10987998658933,5.10962770684904,5.10956228017733,5.11027438253244,5.11054473547696,5.11073701722261,5.10962770684904,5.11010728280377,5.1097438403635,5.10995307749857,5.10877983153715
4,5.14518546353952,5.14423570370978,5.14572799278192,5.14488740974657,5.14467941570084,5.14518546353952,5.14571331691342,5.14567039929037,5.14589788036409,5.14666691884457,5.14518546353952,5.14527526031908,5.14437729898122,5.14556577174357,5.14484701166021,5.14518546353952,5.14594858528706,5.14553443053492,5.14485148813125,5.14552382052568,5.14518546353952,5.14441668455898,5.14401866490551,5.14548275390942,5.14573544032603,5.14518546353952,5.14482113769536,5.1457223023508,5.1439624440973,5.14543020938504,5.14518546353952,5.14457933944447,5.14522609768949,5.14363694336832,5.14487794349632,5.14518546353952,5.14467094523523,5.14572702515166,5.14558668973086,5.14544759407278,5.14518546353952,5.1453450408836,5.14488288174755,5.14537397863433,5.14453568287252
5,5.13741589921413,5.13621407963277,5.1379444536832,5.13737532017339,5.13679612200894,5.13741589921413,5.1377116255727,5.13815356897062,5.13808611098985,5.13911195947041,5.13741589921413,5.13731104733869,5.13649663244337,5.13780640637999,5.1372741735328,5.13741589921413,5.13799426137316,5.13756893996551,5.13704059699674,5.13720727194691,5.13741589921413,5.13668860098105,5.13631107716424,5.13736436545562,5.13798276481531,5.13741589921413,5.13662804873113,5.13830319854411,5.13577172511187,5.13715487454481,5.13741589921413,5.13683175917709,5.13749644751401,5.13590462355179,5.13698950071524,5.13741589921413,5.13674383381081,5.13785762765085,5.13804133997818,5.13746580028032,5.13741589921413,5.13752969416448,5.13690139850102,5.1372180955198,5.13630001425153
6,5.12302499502519,5.12286332911006,5.12463896790533,5.12182158168243,5.12281604497259,5.12302499502519,5.12303230323713,5.12241149691726,5.12199080106598,5.12450597762275,5.12302499502519,5.1230809869969,5.12233311418021,5.12299277650246,5.12242020060068,5.12302499502519,5.12157295066085,5.12408944812088,5.12127210769994,5.12177092942667,5.12302499502519,5.1217512356771,5.12161440296706,5.12241464982563,5.12406991022739,5.12302499502519,5.12167958640837,5.12402933719081,5.1204727292997,5.12197064259372,5.12302499502519,5.12174030586055,5.12244361420779,5.12077007838306,5.12304722641441,5.12302499502519,5.12182175997103,5.12280805326807,5.12477429009607,5.12335077886823,5.12302499502519,5.12307110136015,5.12155811806369,5.12059151002961,5.1201765594285
7,5.12138841258192,5.12157928193503,5.12424101610905,5.1204467330739,5.12211300686074,5.12138841258192,5.12156852041213,5.12078544591201,5.12019662730412,5.12336309795256,5.12138841258192,5.12149738914629,5.12128208997609,5.12157177771062,5.1208582210477,5.12138841258192,5.11945133112029,5.12317810404249,5.11915398807715,5.11978451697511,5.12138841258192,5.12062693902611,5.12012916969484,5.12118038071142,5.1227071516501,5.12138841258192,5.1202733135394,5.12260414447202,5.11872918892625,5.12022793381705,5.12138841258192,5.12005448606305,5.12044334194785,5.11893663770836,5.12222719848756,5.12138841258192,5.11996766798589,5.12127013552114,5.12412361572487,5.12256580723426,5.12138841258192,5.12175682097589,5.11988505175247,5.1180521480252,5.11857317601063
8,5.12538818257987,5.12470909141624,5.1282052214108,5.12525316387445,5.12642728538955,5.12538818257987,5.12590808375154,5.12537917553374,5.12496814056679,5.12798564374095,5.12538818257987,5.12572274719617,5.12530636319459,5.12591429218699,5.12507186025599,5.12538818257987,5.12421127209862,5.12750746013595,5.12321407401808,5.12426549812023,5.12538818257987,5.12543137153392,5.12431653710257,5.12554815087323,5.1270653929416,5.12538818257987,5.12418098945827,5.12702414902472,5.12370329223002,5.12486698759795,5.12538818257987,5.12511098857904,5.12529310404236,5.12333198923686,5.12680662987919,5.12538818257987,5.12484054770829,5.12574922450698,5.12781178536507,5.12729222001412,5.12538818257987,5.12568281383208,5.12485718214219,5.1231559470046,5.12413861467955
9,5.13118590902416,5.12953247801284,5.13306576067095,5.1316286261885,5.13206984299346,5.13118590902416,5.13194126577862,5.13115221205681,5.13135425469548,5.13399663802238,5.13118590902416,5.13158833995374,5.13080052243952,5.13155019430471,5.1309279990177,5.13118590902416,5.13085402132514,5.13300089407228,5.12950662292268,5.13036230219856,5.13118590902416,5.1315370369717,5.13031255552899,5.13157384544804,5.13318033139054,5.13118590902416,5.12984097783297,5.13285255675757,5.12958996985393,5.13079031145216,5.13118590902416,5.13128256181001,5.13131547446951,5.1292279875278,5.1326962281627,5.13118590902416,5.1311624667041,5.13147806214233,5.13303923643616,5.13335404854138,5.13118590902416,5.13138003565772,5.13045934346558,5.12946248591219,5.13083255374733
10,5.13717505659242,5.13601266661718,5.13926040152063,5.13833597046613,5.13821493811672,5.13717505659242,5.13812234866797,5.1374080273467,5.13785847054705,5.14086789144118,5.13717505659242,5.13852345375966,5.13716831577312,5.13719360800421,5.13710316430751,5.13717505659242,5.13762317920533,5.13951441502842,5.13619861747455,5.13694476992724,5.13717505659242,5.13797155765281,5.13646216804306,5.13776965892042,5.13934193495458,5.13717505659242,5.13603670707849,5.13934163122026,5.13573257959384,5.13748143983392,5.13717505659242,5.13735222159433,5.1380063001468,5.13527334787304,5.13896224237887,5.13717505659242,5.1371055413408,5.13782761561427,5.13975047826026,5.13921091355227,5.13717505659242,5.13794886193379,5.13670167537192,5.13539574429463,5.13731347874
11,5.14227001606385,5.14140536137838,5.14492167453932,5.14385664204684,5.14383507970901,5.14227001606385,5.1433770963293,5.1427515962932,5.14350018013026,5.146433867041,5.14227001606385,5.14424640494353,5.14285243478091,5.1423071901906,5.14230715199665,5.14227001606385,5.14358936523314,5.14537368860091,5.14208539773707,5.14243361233544,5.14227001606385,5.14365432426237,5.14161969023784,5.14342994920985,5.14477376529962,5.14227001606385,5.14181265252375,5.14486657678474,5.14087770504475,5.14310899662889,5.14227001606385,5.14294333352514,5.14369152351306,5.14065369272861,5.14427238346455,5.14227001606385,5.1424782405324,5.14334849517622,5.14570799497184,5.14395297763961,5.14227001606385,5.14380412257929,5.14209161274814,5.14072958610309,5.14292023682342
12,5.1465861309744,5.14611872341336,5.15032016670936,5.14907448062522,5.14870473246185,5.1465861309744,5.14800479254103,5.14756347097117,5.14831553939127,5.15144122817936,5.1465861309744,5.14961402362863,5.14790835038928,5.14683203827504,5.14710818474074,5.1465861309744,5.14875176772651,5.15063166346532,5.14745385591814,5.14732660030117,5.1465861309744,5.1483289437039,5.14626745344979,5.1482301585617,5.14938298602984,5.1465861309744,5.14678064366904,5.14970689921708,5.14535974663888,5.14810756695859,5.1465861309744,5.1474071143866,5.14906564481971,5.14541804513354,5.14886131773174,5.1465861309744,5.14717809753026,5.14821737237426,5.15061749084478,5.14824704989623,5.1465861309744,5.14892418945714,5.14692871574553,5.14538597727441,5.14802040449459
