"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,0.00750845410530664,0.0074857793178837,0.00748934767645527,0.00747771112720234,0.00748316171828091,0.00750845410530664,0.00747535949228777,0.00750049391953366,0.0074947054157307,0.00749202750758277,0.00750845410530664,0.00748055964632359,0.00749435852449888,0.00752572519416138,0.00747348547622451,0.00750845410530664,0.00750048461187246,0.00749382945026429,0.00751652864892424,0.00749849064769061,0.00750845410530664,0.00747213172782483,0.00747967962605268,0.0074652511435585,0.00748799472401998,0.00750845410530664,0.0074886728919216,0.00749908311704013,0.00748998326270272,0.00751789539697716,0.00750845410530664,0.00747962311947856,0.00748276091434195,0.00746878082475263,0.00748926233141432,0.00750845410530664,0.00749329832896616,0.00748925490709923,0.00749030670908936,0.00750985518161675,0.00750845410530664,0.00751863185413572,0.00749496775206209,0.00751488413737771,0.00750782410779766
2,0.00748467444423669,0.00751032354898949,0.00751902939273926,0.00749261036496326,0.00748537184305155,0.00748467444423669,0.00746429577953821,0.00752784885865662,0.00750689292280685,0.0074965645190136,0.00748467444423669,0.00754299291749673,0.00752658819043796,0.00756693796154269,0.00748780286630249,0.00748467444423669,0.00751984378067916,0.00752648855774694,0.00753343146871941,0.00751808300305496,0.00748467444423669,0.00753873316877201,0.00751917929646654,0.00751536739002808,0.00751338320975252,0.00748467444423669,0.00753055259044292,0.00749835447412216,0.00748423737102659,0.00754344150696273,0.00748467444423669,0.00750391587081195,0.00749623256246572,0.00748890043934297,0.00750533554280345,0.00748467444423669,0.007520269640997,0.00749436273679989,0.00749546265618516,0.00754563940791177,0.00748467444423669,0.00754312107214374,0.00749691082509453,0.00754718666728362,0.00751897380924578
3,0.00748549230646596,0.00749234634349052,0.00750552806762565,0.00748999982540371,0.00749263242638052,0.00748549230646596,0.00747504123032618,0.00750756827479782,0.00751284536063529,0.00750773929141726,0.00748549230646596,0.00752493508881247,0.0075152813264267,0.00753296373859712,0.00747959852105791,0.00748549230646596,0.0075033978267895,0.00751988231182966,0.00756471010314357,0.00749410320198274,0.00748549230646596,0.00751924161430748,0.00747722530495529,0.00750240917050368,0.00754402619377676,0.00748549230646596,0.00750283976672902,0.00749747769949826,0.00749000539876501,0.0075313206679253,0.00748549230646596,0.00749902960122072,0.0074899275927766,0.00746530223394613,0.00751222407195389,0.00748549230646596,0.00752782694796517,0.00747603632500498,0.00749143893078557,0.0075637034386023,0.00748549230646596,0.00754438714458855,0.00748789745384163,0.00756937419549882,0.0075298201403166
4,0.00746283700675277,0.00749216485054694,0.00755100190063733,0.00749695732204645,0.00749141308889935,0.00746283700675277,0.00742716810749819,0.00750650710859853,0.00744660632110536,0.00749311676790058,0.00746283700675277,0.00753549768157556,0.00756849816912926,0.00752712869325339,0.00747826309311334,0.00746283700675277,0.00750544244519652,0.00753679030136186,0.00756498476781676,0.00748066195288168,0.00746283700675277,0.00756233619292382,0.00748137367232549,0.00748935220878321,0.00755892455161823,0.00746283700675277,0.00752845873147209,0.00748202929263658,0.00749301297148462,0.00754345631955972,0.00746283700675277,0.00746375843856676,0.00745459822063786,0.00738198729183535,0.00752280320764733,0.00746283700675277,0.00750878008046028,0.00746900852427084,0.00750865200010263,0.00752926755275479,0.00746283700675277,0.00754762424221819,0.00749596571123138,0.00758411416478835,0.00751532121193398
5,0.00747994567704247,0.00751434723760182,0.00748954434998604,0.00744440282054724,0.00744414003225765,0.00747994567704247,NA,0.00750487519852404,0.00748194420136983,0.00747653426937506,0.00747994567704247,0.00755307940819804,0.00748300807514937,0.00745862430366201,0.00740218649044751,0.00747994567704247,NA,0.00749724163197128,0.00748554783183784,0.00746007917052039,0.00747994567704247,0.00760893286591573,0.00740844304129172,NA,0.0075268162561349,0.00747994567704247,0.00752357468467047,0.00747392420081355,0.00746817250946437,0.00740532701253994,0.00747994567704247,0.00743145091615002,0.00746516246611784,NA,0.00747425152966619,0.00747994567704247,0.00740872758583174,0.00744836843306117,0.00747355561205159,0.00750149169989976,0.00747994567704247,0.00748923712054822,NA,0.00755538210144391,0.00753830765186574
6,0.00749055479829514,0.00743242433569102,0.00748408359641968,0.0074439713600246,0.00744955970790471,0.00749055479829514,0.00740283354714732,0.00749791151855926,0.00749236701120781,0.00741303820493694,0.00749055479829514,0.00747510522177402,0.00747842870570694,0.00745191351514552,0.00740595841056793,0.00749055479829514,0.00748098367308473,0.00754066962912241,0.0074853351398248,0.00740326945340855,0.00749055479829514,0.00748270086278635,0.0073810320863331,0.00754477029274374,0.00747542841581177,0.00749055479829514,0.00750562674314823,0.0074716618760742,0.00741490293546829,0.00758335935212671,0.00749055479829514,0.0074556470122018,0.00747149463024169,0.00743021209566031,0.00749680009100532,0.00749055479829514,0.00746614667402264,0.00746974394694202,0.00754325812335994,0.00751672010378201,0.00749055479829514,0.00741419738288707,0.00740128805206953,0.00754374710561082,0.00743496148124554
7,0.00751457523102241,0.00752269183440714,0.00750667501619264,0.00745345048506751,0.00749615215314074,0.00751457523102241,0.00748657047254911,0.00750795654461815,0.00742570093462687,0.00750565514097657,0.00751457523102241,0.00753301267151429,0.00748360530343257,0.00748176689145667,0.00745645955299019,0.00751457523102241,0.00748618666209691,0.00754158788255305,0.00754242067104176,0.00743958280616557,0.00751457523102241,0.0075009615966394,0.00743543115985787,0.00759965694585677,0.00756645953803493,0.00751457523102241,0.00752044828935552,0.00750754891025209,0.00746721990029977,0.00761414999730319,0.00751457523102241,0.0074739733305898,0.00753179632945195,0.00749119989646049,0.00746112330373971,0.00751457523102241,0.00750952601826081,0.00751017778117636,0.00753817987490692,0.00754976093795871,0.00751457523102241,0.00744168368452486,0.00746316037631445,0.00752255275832931,0.00747869519028916
8,0.00748863221590142,0.00750894655260752,0.00751916652866753,0.00744102939205006,0.00745201365074191,0.00748863221590142,0.00744316277399529,0.00746950283081773,0.00740406636278068,0.00745791978988146,0.00748863221590142,0.00748925263473869,0.00753562802127329,0.00743501870943631,0.00742139978218743,0.00748863221590142,0.0074783787219691,0.00749810698371574,0.00745469944367975,0.00741240863431062,0.00748863221590142,0.00746495627241035,0.00742404129335577,0.00756436116679322,0.00754620328088893,0.00748863221590142,0.00749813043471554,0.00750375895755977,0.0073941020305688,0.00758996134726779,0.00748863221590142,0.00745318081323494,0.00750836196601607,0.0074541987559873,0.00744766167801912,0.00748863221590142,0.00747578377820327,0.00746103088326286,0.00756797237856539,0.00753909862244038,0.00748863221590142,0.00740257999482523,0.00745047438039401,0.00750500561333119,0.00746073708326902
9,0.00750968506663614,0.00753407474382011,0.00754902723952955,0.00747556233079281,0.00748213749193505,0.00750968506663614,0.00742868529406196,0.00750454335167578,0.00744973477932837,0.00751003769625863,0.00750968506663614,0.00752569550657458,0.00755222602439017,0.00752141476610775,0.00746661526025504,0.00750968506663614,0.00749841686845806,0.00754834815229935,0.00749647372007488,0.00744063010326636,0.00750968506663614,0.00752079436649983,0.00746619781385802,0.00760475372190485,0.00758129426454085,0.00750968506663614,0.00754022780649108,0.00752419263668946,0.00743825689235395,0.00761897339959016,0.00750968506663614,0.00750551937401374,0.0075206574733243,0.00751030915446096,0.00745998728793155,0.00750968506663614,0.00754686498207825,0.00750732466427614,0.00755508331136193,0.00759251516277886,0.00750968506663614,0.0074204341368761,0.00745790474958704,0.00754604703757945,0.00755020983478486
10,0.00751457562260394,0.00754932602344815,0.00758654878282955,0.00747761487595458,0.00748067596405892,0.00751457562260394,0.00747964447485425,0.00747514212774621,0.00747416394901596,0.00752533995741746,0.00751457562260394,0.00750395176875739,0.00757099854861473,0.00753416914824219,0.00746735171029714,0.00751457562260394,0.00751969199539108,0.0075337326843151,0.00749473631885054,0.00746020604822667,0.00751457562260394,0.00751208669935535,0.00747912780547731,0.00757471569244741,0.00760114562878561,0.00751457562260394,0.00757023179841957,0.00750823299570718,0.00744105534871227,0.00758665784691877,0.00751457562260394,0.00749400530745049,0.0075173410822063,0.0075030194225666,0.00748246155044952,0.00751457562260394,0.00753062816930134,0.00752098682949244,0.00755527615085475,0.00757791393145908,0.00751457562260394,0.00741021137893755,0.00742607489291931,0.00752279159055343,0.00757250605670265
