"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,4.21328969650658,4.21272228258407,4.21287541443693,4.2124082777204,4.2127086994538,4.21328969650658,4.21284955623702,4.21283751158496,4.21271539677642,4.212289976522,4.21328969650658,4.21327931661815,4.2130633808466,4.21260339385695,4.21329154629559,4.21328969650658,4.21193550459184,4.21267761634026,4.21257830624489,4.21319856569466,4.21328969650658,4.21260218316102,4.21308471164575,4.21256604847665,4.21307431618502,4.21328969650658,4.21310432456945,4.21206170127748,4.21285037445677,4.21333189218161,4.21328969650658,4.21217705609573,4.21280957971316,4.21207558577946,4.2129556079852,4.21328969650658,4.21232571002161,4.2126554444393,4.21349304558851,4.2131387836821,4.21328969650658,4.2123161144499,4.21300392388275,4.21250850961763,4.21283790222488
2,4.25390128667495,4.24673977780806,4.25033064943001,4.24827672127862,4.24984842497254,4.25390128667495,4.24976962454472,4.25545556599997,4.2487331269598,4.25269094671279,4.25390128667495,4.24823277944065,4.25558657929988,4.24683540037447,4.25168510038695,4.25390128667495,4.2495445753117,4.24514923714277,4.25007891589618,4.24966609576139,4.25390128667495,4.24908671620628,4.25513134196608,4.25052702589207,4.25140178924999,4.25390128667495,4.25063330639264,4.25011618407012,4.24500190029828,4.25192993701438,4.25390128667495,4.24825808268073,4.25539050797987,4.24159860524328,4.2535453214813,4.25390128667495,4.24987935003986,4.25016909003838,4.24726346268961,4.25076701101311,4.25390128667495,4.2503537941683,4.25277471409494,4.25260834775282,4.25169841473524
3,4.21576098412535,4.21570835523364,4.213653737566,4.21672310938732,4.21826930768935,4.21576098412535,4.21553096734831,4.21449211284432,4.2118085856557,4.21513929277383,4.21576098412535,4.21710865652852,4.21355438194043,4.21721057330982,4.21632812590883,4.21576098412535,4.21500537657278,4.21949063433572,4.21933069031052,4.21405988267798,4.21576098412535,4.21666383396383,4.2147437775066,4.21740519995751,4.21364785901954,4.21576098412535,4.21645149003262,4.21329436281874,4.21671762993652,4.21835279732593,4.21576098412535,4.21221138057381,4.21053189455856,4.21497054564135,4.21601574648722,4.21576098412535,4.21728422661753,4.21590700866164,4.21535200961925,4.22016889925352,4.21576098412535,4.2159241519191,4.21651323503823,4.21574582964358,4.22013875448541
4,3.70244280583238,3.69884859193755,3.70102395894993,3.69105541995568,3.6939035290761,3.70244280583238,3.69533158535551,3.69556812426276,3.69875629988469,3.70256518548242,3.70244280583238,3.69875104937216,3.7053177493277,3.69898456530823,3.7044246578456,3.70244280583238,3.69254523026198,3.7005825903785,3.69318650105652,3.69689350480889,3.70244280583238,3.70174422929648,3.70094681815743,3.69804825666674,3.69834428962874,3.70244280583238,3.70229300512991,3.70455237125829,3.6958105067593,3.6968590805141,3.70244280583238,3.69281733420296,3.70149714464245,3.70015732947251,3.69820424593565,3.70244280583238,3.69990693195466,3.69756535512323,3.70264055097299,3.69721175523819,3.70244280583238,3.70355168833956,3.69366804113017,3.69226969779926,3.69391008664845
5,3.13598189064976,3.23777023609372,3.24078143965261,3.11784669220135,3.2294751238969,3.13598189064976,3.14037578432564,3.08133528456384,3.06607242326561,3.17412920027804,3.13598189064976,3.16361770384198,3.22173777174741,3.15572906384398,3.12068285357211,3.13598189064976,3.04961368579605,3.2081735425276,3.10681651309688,3.09563007364127,3.13598189064976,3.14799448161705,3.16033440455162,3.13618161448216,3.1846230531967,3.13598189064976,3.13908704842575,3.17774975024273,3.10898204634129,3.10024764741058,3.13598189064976,3.10408622206167,3.12076640008445,3.10710503584009,3.20729049444512,3.13598189064976,3.13230813103959,3.13929172320995,3.23052395877298,3.19946935342591,3.13598189064976,3.17729533217961,3.12696896610543,3.03228772813746,3.08036119789172
6,3.65920791547931,3.74444986128013,3.75004380954383,3.66436055041785,3.70923467041723,3.65920791547931,3.68611743884564,3.68727918510981,3.64638574811916,3.66661855754525,3.65920791547931,3.63383388209656,3.72319157858312,3.69335772944506,3.67558881913675,3.65920791547931,3.6183424885121,3.69279278797567,3.65628627486474,3.65972231164578,3.65920791547931,3.66832782176177,3.6663966609843,3.7027039317593,3.67990679257256,3.65920791547931,3.70670399473787,3.64289345702804,3.65862098755881,3.65531356509747,3.65920791547931,3.66286513033956,3.64557858305889,3.67558661657135,3.69990624606096,3.65920791547931,3.63842324853852,3.70293252341424,3.71346377351898,3.62054675368894,3.65920791547931,3.66144397361054,3.654311184749,3.6467440479378,3.58268559195697
7,3.52410558746832,3.5308727656977,3.60071873668989,3.48258809254088,3.60610571300926,3.52410558746832,3.53795355752164,3.51994400869309,3.49882247971025,3.52119888526445,3.52410558746832,3.45597531831585,3.59554546777862,3.54929490134515,3.51930571721754,3.52410558746832,3.44485976307957,3.55914398583625,3.45787617396827,3.48416663560535,3.52410558746832,3.51449695201663,3.52370789748916,3.57831381920932,3.55623986559386,3.52410558746832,3.52482535143772,3.52073112293172,3.55450895916098,3.52188322321245,3.52410558746832,3.54266466543328,3.49619673484889,3.55494734925057,3.57668506506576,3.52410558746832,3.5072054585099,3.55713057578582,3.54271094010229,3.52332387605659,3.52410558746832,3.50166578358212,3.5567550871131,3.5487915138334,3.46364044099039
8,3.83820911119781,3.78168437881064,3.82740820415262,3.78211627978242,3.84090367984114,3.83820911119781,3.83041204577883,3.85699878782362,3.83991317029613,3.78789810060662,3.83820911119781,3.70690091701099,3.81885524399366,3.8491119557446,3.81721655285825,3.83820911119781,3.80581446445206,3.77907748633897,3.72570935624982,3.80453682062193,3.83820911119781,3.81635430905527,3.82497518974452,3.83973236572782,3.84161710236294,3.83820911119781,3.81443854259311,3.84423227221072,3.85234663482116,3.80215860807408,3.83820911119781,3.85702065702729,3.76770175413187,3.84347641128474,3.85081228526466,3.83820911119781,3.77203411491333,3.86510369085335,3.77035642833082,3.88567793978133,3.83820911119781,3.77930559131193,3.84099604283896,3.87234685641241,3.82414963011827
9,4.0521254551658,3.99277547653078,3.95777348216599,4.01621602744976,3.97717941180671,4.0521254551658,4.0358179619547,4.04208647045821,4.04115727272116,3.99695068017918,4.0521254551658,4.00204648333559,3.97850303536306,4.04300070287694,4.04915346000398,4.0521254551658,4.01783279232795,3.97346896596242,3.97528355662031,4.01995087562552,4.0521254551658,4.01003349003474,4.04993726435084,4.00517782641477,4.05089190814222,4.0521254551658,4.00829509491354,4.00647153794788,4.06555673702704,4.01384438013209,4.0521254551658,4.0150251940609,3.99583107017186,4.03894208826232,4.01934439070875,4.0521254551658,4.03531793870394,4.03653147685691,3.96480788856072,4.06588933172679,4.0521254551658,3.98363097033665,4.01888887749974,4.05302059171507,4.02510414660844
10,4.10234837495097,4.1013019120849,4.02700262046387,4.07617647241967,4.06942896998442,4.10234837495097,4.09905411576623,4.10842532123274,4.08554448237972,4.08749121550519,4.10234837495097,4.04998765600111,4.08231210061475,4.1112810808826,4.09455715698625,4.10234837495097,4.06423924639119,4.06373739069278,4.05255958924733,4.07878575576148,4.10234837495097,4.09589214153866,4.10128723003228,4.11018246784272,4.11091267588432,4.10234837495097,4.09163392768911,4.10127008636747,4.1079207934157,4.08401754463914,4.10234837495097,4.09918050064563,4.07256799239043,4.10169226741067,4.10634626441935,4.10234837495097,4.08153115747162,4.11266077107912,4.08867247229148,4.1189625258902,4.10234837495097,4.07883474425217,4.11314997969733,4.09488621178964,4.07101443102592
