"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,2.68898357646076,2.68887076451681,2.68880491826611,2.68877283869126,2.68927976412691,2.68898357646076,2.68895874469385,2.689268428661,2.6887837169716,2.68875424431506,2.68898357646076,2.68862830010971,2.68900995612932,2.68879441520811,2.68905043662561,2.68898357646076,2.68862302933996,2.68926468023722,2.68865166478263,2.68882803750017,2.68898357646076,2.68869711494702,2.68860209411805,2.68890283729713,2.68887602067772,2.68898357646076,2.68869218915005,2.68859577264514,2.68901103502436,2.68900598733683,2.68898357646076,2.68878457865326,2.68909335251247,2.68861013622552,2.68868067752852,2.68898357646076,2.68902533073598,2.68895168974654,2.68915013810253,2.68864594393715,2.68898357646076,2.6887434185867,2.68914005997755,2.68892809333351,2.68881797318843
2,2.69561200440113,2.69540118089801,2.69501617317284,2.69470877741576,2.6950718047775,2.69561200440113,2.69448390091957,2.69537681347399,2.69531464362308,2.69509345178015,2.69561200440113,2.6945086758995,2.69507737927443,2.69515142616917,2.69547351654718,2.69561200440113,2.69482034089114,2.6951713596443,2.69427597117731,2.6948592444903,2.69561200440113,2.69493339304522,2.69479793282304,2.69498723004462,2.69503994817397,2.69561200440113,2.69456670238171,2.69480099128843,2.69478992097642,2.69520869658829,2.69561200440113,2.69505115018072,2.69547399021889,2.69462433089324,2.69463763377427,2.69561200440113,2.69432827462679,2.69536861168952,2.69516876549429,2.69449024656156,2.69561200440113,2.69513753186551,2.69504177985961,2.69506338010554,2.695029638828
3,2.70541725144389,2.7052658918622,2.70486541590312,2.70473351673067,2.7058265907759,2.70541725144389,2.70418185189068,2.70554899794774,2.70540476938508,2.70436664472572,2.70541725144389,2.70434711876341,2.70439906657362,2.70532791016643,2.70491995562082,2.70541725144389,2.7044371765152,2.70444089259248,2.7044152971081,2.70383057132022,2.70541725144389,2.70473386071547,2.7042531378122,2.7045104120008,2.70473811709316,2.70541725144389,2.70358745969882,2.70445618834683,2.70430789509995,2.70455149263505,2.70541725144389,2.70477141897984,2.70498933919513,2.70367731457735,2.70420761076682,2.70541725144389,2.7034780909581,2.70507062527879,2.70553912696015,2.70404101958666,2.70541725144389,2.70493518649775,2.70460970447747,2.70466918734263,2.7041534861867
4,2.71466591803769,2.71597633878673,2.71621589237389,2.71462542357268,2.71619699446803,2.71466591803769,2.71497711013768,2.71660591770614,2.71589345932765,2.71473608506858,2.71466591803769,2.71494650594082,2.71463320245106,2.71525887494022,2.71504213882437,2.71466591803769,2.71478021411802,2.71351758850448,2.7143039241549,2.71404553026958,2.71466591803769,2.71520645596578,2.71456402513624,2.71447558532558,2.71526217636141,2.71466591803769,2.7128214245299,2.71490562863719,2.71340414669502,2.71546219435366,2.71466591803769,2.71499938123031,2.71598278266584,2.71335905716281,2.71418164629374,2.71466591803769,2.71418352624913,2.71512708006945,2.71484674975332,2.71356715383751,2.71466591803769,2.71532684217853,2.7145382580688,2.71470162110009,2.71482106217715
5,2.72586423811674,2.72744933363882,2.72692478356666,2.72678861792821,2.72631956273828,2.72586423811674,2.7254190395772,2.72850222671449,2.72762523296889,2.72692741411573,2.72586423811674,2.72641396703687,2.72545626585758,2.72646490751829,2.72581707623228,2.72586423811674,2.7251589241954,2.72478786138265,2.72552504816234,2.72473231474072,2.72586423811674,2.72647120287635,2.72563562861728,2.72628846265091,2.72702823310249,2.72586423811674,2.72350091470018,2.72548386465594,2.72417238348914,2.72633294946411,2.72586423811674,2.72480903960098,2.72720551783571,2.72414144890438,2.72528716237074,2.72586423811674,2.72504196409271,2.72602862923998,2.7263628370838,2.72508946154715,2.72586423811674,2.72610440963606,2.7254425679682,2.72529467665141,2.7261130360589
6,2.72839823977268,2.7293970424233,2.72920269699292,2.72721044638401,2.72843864844043,2.72839823977268,2.7287281495898,2.72915920113239,2.72920956044828,2.72988984412859,2.72839823977268,2.7273528410794,2.72845016586388,2.72993196352261,2.72938413721147,2.72839823977268,2.72834367296618,2.72689316921273,2.72753290343756,2.72666068359278,2.72839823977268,2.72874423363435,2.72657231483414,2.72688035428341,2.72777962698738,2.72839823977268,2.72562137550295,2.72669351094613,2.73027681359108,2.7282857669207,2.72839823977268,2.72751654439981,2.7295538736302,2.72724623216873,2.72849200923744,2.72839823977268,2.72901368766451,2.72755188460387,2.72953676271949,2.72698203515906,2.72839823977268,2.72905389413742,2.72752040678351,2.7283951243021,2.72750545454997
7,2.73114903031523,2.73236866362688,2.73259769259902,2.7287028992391,2.73016189193438,2.73114903031523,2.73257618987218,2.73302882886909,2.73146789546602,2.73170080982984,2.73114903031523,2.72662962064838,2.72857292563321,2.73150393887137,2.7304215244526,2.73114903031523,2.72905796914842,2.72714756912896,2.72834111772427,2.72833930702636,2.73114903031523,2.7321181378512,2.7295033782638,2.72913390240234,2.72972434969449,2.73114903031523,2.72812172044819,2.72729629244513,2.73138619139177,2.73081385742099,2.73114903031523,2.72798684769484,2.73492212250479,2.72827100285344,2.73221996876219,2.73114903031523,2.73297218782013,2.72829950793928,2.73011656337514,2.72881434792982,2.73114903031523,2.73354453383937,2.72737180209418,2.73089943368899,2.72907984166887
8,2.72525884711843,2.72593448682154,2.72724023793647,2.72238224274991,2.7247704051637,2.72525884711843,2.72682582137539,2.72609310879225,2.72447122718088,2.72693965701046,2.72525884711843,2.72032121927179,2.72530296804793,2.7264236170507,2.72443865087067,2.72525884711843,2.72319058813663,2.7224156241171,2.72209856063079,2.7218366830272,2.72525884711843,2.72533040703851,2.72237791647414,2.72447537636908,2.72516812466092,2.72525884711843,2.72246525601084,2.72337790211958,2.72583594241477,2.72468976200232,2.72525884711843,2.7229843377787,2.72668095540831,2.72280090820216,2.72659608908866,2.72525884711843,2.72532530563774,2.72430973939801,2.72443154150685,2.72428008216464,2.72525884711843,2.72657168331856,2.72188859618906,2.72444707737609,2.72328443125784
9,2.72278961223172,2.72593073346031,2.7262873510309,2.72081000876126,2.72457111051332,2.72278961223172,2.7263756205188,2.72532269496453,2.72354896843172,2.72600066221646,2.72278961223172,2.71954178565216,2.72546162439556,2.72600002049899,2.72390051339546,2.72278961223172,2.72197945342144,2.72221590294309,2.72081709317487,2.72106550118694,2.72278961223172,2.72432844116859,2.72201866982139,2.72358514297734,2.72432894504763,2.72278961223172,2.72189454998318,2.72203920847053,2.7239047870799,2.72380749960873,2.72278961223172,2.7225635947559,2.72497806345073,2.72163910800886,2.72615169388862,2.72278961223172,2.72402194057476,2.72363268288631,2.72433441908758,2.722868918849,2.72278961223172,2.72625121762862,2.7212524350201,2.72357766281077,2.72172752724139
10,2.73026196268142,2.73140837748595,2.73014200998616,2.72895294241837,2.72848751943106,2.73026196268142,2.7327546440328,2.73250969249617,2.73066903841499,2.73164180148233,2.73026196268142,2.72744630259262,2.72960103186189,2.73193719680934,2.73088884659614,2.73026196268142,2.72952308443554,2.72741913578491,2.72774528556205,2.72786121448974,2.73026196268142,2.73038020856928,2.72932532733086,2.72868465500869,2.73096668915713,2.73026196268142,2.72795730087969,2.72779042903977,2.72946596839393,2.72988333366915,2.73026196268142,2.72802186561688,2.73138290811405,2.72750704873598,2.73170648037106,2.73026196268142,2.72984353645815,2.7294099709192,2.72941869051193,2.72958334593365,2.73026196268142,2.7319210689877,2.72594470231855,2.72981916943025,2.72858044064693
