"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,45321.924087179,45317.202593321,45319.2294919004,45311.9677077596,45316.0654990307,45321.924087179,45317.441607779,45318.6077634103,45315.6975592508,45309.611409132,45321.924087179,45323.1437817926,45320.2092506703,45314.4116300739,45323.3958483055,45321.924087179,45306.9852630094,45315.2940214658,45315.3907904021,45321.1990964087,45321.924087179,45316.7770235027,45321.7929448104,45315.0411477842,45321.3852133391,45321.924087179,45320.8583646466,45308.6232636442,45318.7689866193,45321.7793777487,45321.924087179,45309.5292444683,45316.231307747,45309.9839182153,45318.4576080433,45321.924087179,45310.7428043048,45314.9647305629,45326.8755910203,45320.4188326127,45321.924087179,45310.2198711286,45320.7153134645,45314.1092041059,45319.5086265831
2,45426.6158138588,45319.8303215906,45352.6681566584,45334.9055369845,45353.4135534777,45426.6158138588,45361.7346369271,45445.2968804903,45332.0920150886,45397.1154683152,45426.6158138588,45332.9033277423,45445.2684194907,45317.0446062322,45393.8050249332,45426.6158138588,45354.1109853931,45286.4167177442,45364.7137320174,45341.5840565863,45426.6158138588,45349.8664409159,45437.6274881652,45372.5748515625,45400.2427577412,45426.6158138588,45361.5665636583,45366.0092651592,45292.5424151062,45396.5427021034,45426.6158138588,45335.864815992,45433.1758531786,45235.1289044307,45413.8757439714,45426.6158138588,45370.4077019631,45365.9877613039,45317.5483214558,45372.2470814429,45426.6158138588,45367.4056961276,45400.619344892,45415.1420770274,45399.484855868
3,44650.0921209757,44657.8711702045,44635.380725356,44679.684947163,44704.5214607558,44650.0921209757,44659.4011598567,44648.8765339995,44604.0076444892,44655.0750032528,44650.0921209757,44692.6589812329,44654.0790698698,44701.8744046617,44675.2909172409,44650.0921209757,44646.0758054349,44720.911484923,44715.9095968879,44629.9257234426,44650.0921209757,44686.5540982483,44653.6792354124,44688.14869769,44628.1911322396,44650.0921209757,44688.0833889669,44612.6168430856,44675.4839578316,44706.5502476153,44650.0921209757,44607.7949953213,44580.8549476463,44646.06533235,44668.0010171427,44650.0921209757,44692.4579766401,44658.9498145505,44663.2450469351,44725.1013009578,44650.0921209757,44663.6390900381,44671.0102676087,44655.2121132422,44730.0351388403
4,31567.2369125342,31508.1114039919,31497.9189655749,31238.192286633,31409.5826205764,31567.2369125342,31443.9067511874,31407.6869598324,31458.3240599963,31563.7009776404,31567.2369125342,31402.9275563995,31625.524768235,31449.6755631739,31524.7296402625,31567.2369125342,31314.2989340917,31490.3739343885,31347.4383817927,31414.7105860808,31567.2369125342,31491.2839338753,31491.7242237341,31466.6397310987,31441.4485674228,31567.2369125342,31561.3049696519,31550.2057864857,31435.8788927937,31445.5336830475,31567.2369125342,31331.8359763477,31593.9718693087,31502.744869705,31459.5595529069,31567.2369125342,31441.1760465398,31386.3068382564,31465.9910350341,31429.8410171897,31567.2369125342,31585.8559163557,31361.5385832338,31276.3022755067,31357.8251824136
5,20285.3826812106,23220.730909485,23079.1072581045,20138.4117483835,22873.7693112522,20285.3826812106,20132.9477001315,18909.8061570359,18462.0387334687,21314.8446789055,20285.3826812106,21581.6253514214,22553.2124573262,21059.20377821,20083.9777420339,20285.3826812106,18201.4605482866,22333.8704825687,19732.0361899624,19234.7803847554,20285.3826812106,20576.5052324624,20963.0380422631,20209.6345348471,21975.4712619072,20285.3826812106,20053.1828062514,21466.9074128737,19763.9841540322,19639.8655857977,20285.3826812106,19585.456336131,19853.369461348,19518.7494211677,22075.6911500394,20285.3826812106,20168.6340968554,20725.506530268,23013.7135365897,22317.6492031407,20285.3826812106,21081.6662334249,20284.5032496597,17810.5413721608,19106.2260001231
6,34403.0573967645,36050.1097719313,36265.1066586764,34479.8136968476,35547.8563832728,34403.0573967645,34900.5280059689,34976.2727626641,34252.6208792554,34559.1953145406,34403.0573967645,34147.5702798599,35810.1658891422,35115.4910878559,34779.6591999738,34403.0573967645,33757.7127003067,35162.5358331712,34351.7227598815,34290.8167139575,34403.0573967645,34744.3378674665,34539.898062973,35214.7817254733,34932.8331117986,34403.0573967645,35270.7303885539,34174.988361379,34444.0056381588,34387.0636467553,34403.0573967645,34512.5381834632,34146.2680793441,34756.6288900716,35292.3486599985,34403.0573967645,34065.968374346,35184.4748085391,35547.3840542966,33780.2403002599,34403.0573967645,34599.3529387805,34474.7971613947,34051.5035584291,32934.7162739002
7,30116.4178935293,30004.6133641772,31863.8767790645,29239.1355863233,32287.0859950724,30116.4178935293,30413.3394176187,30037.1637572477,29572.2748934519,30231.7647054684,30116.4178935293,28746.0376821826,31909.9727435766,30749.720569769,30108.3514060279,30116.4178935293,28449.5092682833,31122.937945546,28702.7889768237,29422.3490681064,30116.4178935293,30097.3046601944,30071.8848833627,31361.6256544216,31025.0544378824,30116.4178935293,30051.6205363101,30258.0557973619,31147.1233063031,30344.9206059972,30116.4178935293,30773.0881268189,29643.1687812146,30997.0818374185,31362.9547985132,30116.4178935293,30052.750087879,30910.6749809661,30383.7266734268,30344.9358675608,30116.4178935293,29724.9152019458,31240.323079174,30998.2691453755,29160.4299272373
8,37569.6724466368,36596.3035303051,37454.6726635003,36500.6509692312,37637.6176189306,37569.6724466368,37389.5511365121,37852.8372795235,37572.4273513892,36596.3278360354,37569.6724466368,35003.7020707056,37341.8638715475,37797.1673676375,37228.8094717035,37569.6724466368,36916.991521826,36521.3584342781,35462.0539632622,36879.3074435345,37569.6724466368,37106.3744312954,37374.3111916174,37500.6886789898,37702.8525821828,37569.6724466368,37150.4254294737,37746.843484423,37814.6564467288,36903.4370178669,37569.6724466368,37891.4183402048,36290.0238286673,37698.0090831334,37840.3008643733,37569.6724466368,36383.3660235564,38104.1472293142,36345.2855382199,38462.9911064386,37569.6724466368,36520.2314629707,37662.280016624,38181.123384672,37279.0586793218
9,41382.0040324551,40423.3641687779,39828.0956270862,40740.193609973,40191.2967710646,41382.0040324551,41123.9259371755,41159.3373403608,41198.0002836274,40419.3650999496,41382.0040324551,40445.1373436251,40208.8028635723,41290.1112609416,41361.8085974241,41382.0040324551,40752.8187017836,40029.6839248724,40049.3474454822,40795.1717312814,41382.0040324551,40670.9844075077,41395.1752528719,40600.2908024033,41425.4177876765,41382.0040324551,40646.2962973294,40648.6746031058,41665.603595263,40716.7152828861,41382.0040324551,40745.05923562,40373.7082568502,41145.5954850026,40905.3658101051,41382.0040324551,41126.5175775368,41145.4567426758,39866.8093279322,41719.487459311,41382.0040324551,40191.8325278596,40851.1100650019,41390.2533396835,40905.4115001932
10,42174.8583685896,42224.5247863288,40974.9428091354,41708.1581684442,41710.1725171047,42174.8583685896,42163.6814436631,42250.6860825486,41894.9059268128,41951.1126250936,42174.8583685896,41265.0517979747,41937.130685452,42411.2617981854,42083.5893302344,42174.8583685896,41465.6142388016,41557.0203144854,41295.6846628195,41762.5045835882,42174.8583685896,42085.6754209604,42212.7250461703,42344.7442766402,42424.4947415526,42174.8583685896,42035.809822163,42213.1168927637,42343.7909730014,41879.2863232175,42174.8583685896,42136.7676815097,41632.871460584,42188.8929911995,42361.0749058019,42174.8583685896,41856.0031884307,42407.9620188803,41980.7816650497,42558.2568112566,42174.8583685896,41790.1062905178,42374.1094838271,42045.8713222215,41619.0879414143
11,42738.2715130179,42817.2789256663,42054.144948583,42196.3777656857,42321.3623437257,42738.2715130179,42906.6921966919,42686.7913607527,42516.8624299928,42631.6104534391,42738.2715130179,41786.9369664495,42737.3998862832,42863.1802509394,42555.0561399102,42738.2715130179,42090.7860785389,42162.8644297156,41920.9076721899,42188.9945861264,42738.2715130179,42745.6201961882,42882.1512425011,42710.0223053693,43087.745898158,42738.2715130179,42584.6949432934,42920.7747547542,43122.9922123663,42433.7145379645,42738.2715130179,42920.1681121755,42353.4920979962,42776.7903493299,42935.8513462514,42738.2715130179,42569.4436263625,43029.7905611548,42619.4860401129,43323.7925038973,42738.2715130179,42354.4522333062,42926.2431308322,42644.2007237686,42155.8506908661
12,43242.8694982678,43321.1206651162,42274.1212336241,42566.8299501362,42856.1998474325,43242.8694982678,43386.0037841161,42912.1949971371,42912.4442278767,43004.6587883698,43242.8694982678,42040.2362615837,43496.6880834868,42877.6738989662,43113.1874228947,43242.8694982678,42441.4696974888,42558.6245741251,42281.9300816486,42528.4489690026,43242.8694982678,43096.8216253508,43242.2477738194,42636.6284650662,43563.5430403064,43242.8694982678,43186.0185420188,42900.5184042821,43471.5013560223,43080.0982732468,43242.8694982678,43398.0593159387,42681.464280818,43174.0000137142,43654.0124720904,43242.8694982678,43189.2750522383,43406.5876520402,43065.7833142591,44029.9814558586,43242.8694982678,42692.8560638312,43451.4802229491,43040.6315112889,42550.1080128687
13,43346.9069975142,43295.1653796537,42899.5540279097,42717.6245617618,43279.2823334892,43346.9069975142,43712.5680502469,42938.1607048975,43284.2823872315,43557.7745896904,43346.9069975142,42298.8813464642,43293.6724553205,43380.6666058682,43342.3617904509,43346.9069975142,42430.2867493494,43144.2382799056,42588.3212792108,42659.7250648843,43346.9069975142,43279.9151451358,43606.4137530695,43241.2215002075,43856.0108030195,43346.9069975142,43263.6313090906,42975.9989990125,43656.7962816566,43209.5172256201,43346.9069975142,43418.748900307,42907.9502470792,43252.2785708549,44057.3755772729,43346.9069975142,43573.0814262532,43905.3587187731,43498.4724411834,44317.4466043755,43346.9069975142,43083.7834205685,43337.4586798295,43149.1165447871,42633.4662178486
14,43224.0036448804,42966.0583429817,43194.2299213014,42593.348950848,43302.1710356453,43224.0036448804,43662.514899605,42818.9659891235,43208.6811688413,43504.0074659824,43224.0036448804,42403.4126109463,43967.1905194172,43379.3633537026,43275.5238209611,43224.0036448804,42656.8816895418,43124.7353957713,42482.1573500322,42626.1715386292,43224.0036448804,43399.5512610713,43654.3218459025,43386.5905828691,43935.1649600031,43224.0036448804,43323.6512757223,42980.7518750281,43797.5961718388,43338.9193256825,43224.0036448804,43253.6307587556,43033.0067079484,43241.481007285,44244.271886254,43224.0036448804,43751.0115126286,43898.985148925,43527.0292864807,44225.1664527265,43224.0036448804,43290.540774246,43604.6969053544,42802.6974420225,42865.2056108839
15,43004.5860750955,43532.0539799223,43706.4593210754,42486.5507664747,44038.079316412,43004.5860750955,43442.4231764292,42552.1090482302,43091.3561920493,43353.8354153149,43004.5860750955,42528.265273684,43937.5548782894,43696.7737644754,43268.0555643972,43004.5860750955,42422.3547292147,43296.3959589397,42177.8616173773,42462.5792095812,43004.5860750955,43422.9574141094,43657.9779890426,43405.032058017,43803.9839438909,43004.5860750955,43268.8048549492,43677.7218698574,43594.6388856191,43134.6279569561,43004.5860750955,43154.2330348372,42732.1644470488,42958.3193316608,44257.0943848006,43004.5860750955,43497.8612680968,43834.9784128595,43379.1999857632,44573.6359206728,43004.5860750955,43076.5472017186,43396.0536019577,42624.1804239671,42557.388113065
16,42656.613649109,43628.8696588446,43790.135453604,42291.2140003377,44040.6295909254,42656.613649109,43118.4449454695,42219.1090137133,42793.0711930262,43220.3571815042,42656.613649109,42180.8821219315,44118.8781645577,43537.3862122856,43066.9280938047,42656.613649109,42037.6275102572,43446.2989861965,41911.5321809938,42378.2296510793,42656.613649109,43182.535044449,43450.3387726283,43188.1788606752,43764.3488609391,42656.613649109,43102.8601659335,43688.6180728226,43338.1941377442,42832.2630965402,42656.613649109,42908.0788185593,42268.7766160302,42616.2295531526,44041.475647529,42656.613649109,43237.592968045,43601.2768224292,43229.248536612,44468.6494016579,42656.613649109,42979.7443078727,43178.7273349631,42306.2970969128,42322.4949802172
17,42261.9247759052,43385.7405617182,43816.5852502036,41982.3761127022,44253.4854196295,42261.9247759052,42795.2130460147,41968.9652944802,42538.6614204119,43063.7663840029,42261.9247759052,41853.1678904395,44085.5554596484,43456.156815155,42839.3551348863,42261.9247759052,41753.8667583082,43271.8577206746,41625.1649897801,42184.9077862465,42261.9247759052,42836.1112855622,43155.3127741883,43086.9939390973,43659.77613416,42261.9247759052,42819.2570045323,43440.5173680477,43246.9076345393,42535.3232440761,42261.9247759052,42667.1813271966,41840.6079797308,42487.5523051996,43919.9143502013,42261.9247759052,43069.9522672061,43433.5383183773,42926.9683709926,44384.1678660905,42261.9247759052,42770.8493325722,43113.0383443939,41945.3955827597,42130.0288245037
18,41972.6413941862,43077.9657834,43886.7981273213,41690.7059673172,44309.2205987378,41972.6413941862,42592.1107109151,41642.4016771907,42309.4084656259,42919.3242273508,41972.6413941862,41636.9606979865,43958.9133715381,43241.8370528064,42630.3499093467,41972.6413941862,41438.6612690337,43175.1098694722,41397.1768362537,41904.2019132503,41972.6413941862,42642.0598159504,43099.5203657072,42879.1450524362,43596.5327097568,41972.6413941862,42669.0953612005,43328.2147558733,43053.0211582494,42312.1722410998,41972.6413941862,42446.5581775239,41560.3873035373,42247.584365945,44183.834871043,41972.6413941862,42900.334528213,43284.1164386869,42824.4925535799,44150.3260827352,41972.6413941862,42470.9862028626,42857.8200645644,41768.3166217273,41897.8719375268
19,41906.7177367354,42965.2406412776,43818.8439419501,41572.8502073306,44239.8014886269,41906.7177367354,42303.7902313537,41583.3158795321,42167.1089074872,42854.580845076,41906.7177367354,41427.8865551139,44005.3605593774,43205.5123153685,42451.239712217,41906.7177367354,41088.6364227977,43191.1832830943,41086.6569452671,41681.2306172837,41906.7177367354,42466.0810674746,43027.623890812,42904.4418621917,43657.3538245907,41906.7177367354,42439.6998878248,43457.9731699512,42896.8248842477,42241.2854367016,41906.7177367354,42402.1939388218,41347.550912408,42137.4079740174,44223.5495717973,41906.7177367354,42691.6468344399,43240.9141739941,42661.9138928632,44210.6173938837,41906.7177367354,42314.8381490674,42753.0395666533,41645.5313829399,41708.2949296364
20,41887.5011804748,42896.4107446581,43812.2017002307,41465.1740106477,44275.859489973,41887.5011804748,42294.0098073945,41487.4197624645,42102.727826601,42890.671155159,41887.5011804748,41322.4537223935,43987.259078906,43111.4558865094,42406.8462518689,41887.5011804748,41058.4548168029,43109.5936717472,41001.9128842639,41574.1248235087,41887.5011804748,42462.7689410423,42947.4024454147,42785.7319790855,43735.3335176473,41887.5011804748,42375.9450083871,43279.0931469563,42919.7135742355,42209.8648883768,41887.5011804748,42251.9389475271,41211.8363027408,42074.6313043313,44288.5159206498,41887.5011804748,42676.4074636165,43251.9411261519,42681.4318487918,44163.8356978818,41887.5011804748,42262.8793609638,42689.0626825414,41555.5818245057,41560.7250746181
