"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,5377.96715292152,5377.74152903362,5377.60983653223,5377.54567738251,5378.55952825383,5377.96715292152,5377.91748938769,5378.53685732199,5377.5674339432,5377.50848863012,5377.96715292152,5377.25660021941,5378.01991225864,5377.58883041623,5378.10087325123,5377.96715292152,5377.24605867993,5378.52936047444,5377.30332956525,5377.65607500034,5377.96715292152,5377.39422989405,5377.2041882361,5377.80567459426,5377.75204135543,5377.96715292152,5377.38437830009,5377.19154529028,5378.02207004872,5378.01197467365,5377.96715292152,5377.56915730652,5378.18670502493,5377.22027245103,5377.36135505705,5377.96715292152,5378.05066147196,5377.90337949308,5378.30027620506,5377.2918878743,5377.96715292152,5377.48683717341,5378.2801199551,5377.85618666701,5377.63594637685
2,5501.7441009827,5495.92300785103,5476.27286388722,5489.12177959591,5487.16619452699,5501.7441009827,5494.05267397501,5495.87332267346,5479.57467048572,5487.21026782438,5501.7441009827,5488.71417280728,5492.5676989613,5495.41375795894,5501.4614472728,5501.7441009827,5492.04385473614,5490.06405959543,5490.93442925936,5475.9539848043,5501.7441009827,5489.57932163312,5486.60859122771,5495.07896206098,5508.6616540676,5501.7441009827,5480.7486726444,5492.00442024583,5494.67664887092,5500.92094973669,5501.7441009827,5489.81919291812,5482.59409610522,5486.25513769864,5491.67149763197,5501.7441009827,5499.12400851329,5493.16123062325,5490.05877531187,5491.37112249246,5501.7441009827,5492.69028994191,5489.80010557404,5506.01448555562,5500.55549284795
3,5275.56364031558,5269.85795734756,5282.6021572588,5276.93509114154,5276.361852013,5275.56364031558,5267.74624748304,5286.64274198988,5278.2447050703,5270.81059057042,5275.56364031558,5276.1812287074,5297.91777141773,5288.91606437537,5290.82343319433,5275.56364031558,5270.94805702812,5268.25085877016,5279.01865995501,5269.76578350311,5275.56364031558,5285.04996383803,5278.70212500941,5271.09079298956,5282.35354268293,5275.56364031558,5288.2170711709,5265.57619871128,5265.2874717596,5284.69361660889,5275.56364031558,5271.5994955917,5274.7292114305,5258.65237685295,5281.31746382761,5275.56364031558,5279.89271164117,5272.18264866837,5286.62345408014,5270.1759471744,5275.56364031558,5274.62361367062,5271.28431402659,5265.99090775611,5273.09929806406
4,1159.16234700209,1200.46154174373,1138.09445890466,1023.4137846869,1140.80273767657,1159.16234700209,1159.29522602879,1111.09182034181,1116.23221178366,1189.05440526004,1159.16234700209,1050.6842977991,1189.00934267357,1107.82562097561,1091.4469398074,1159.16234700209,1072.33818457662,1126.10979922936,1091.15017751027,1091.04630316837,1159.16234700209,1096.94340821018,1118.40037835613,1145.50869700739,1124.11854101362,1159.16234700209,1185.50296251957,1142.97526965626,1145.0565499053,1118.77042407371,1159.16234700209,1094.14475063581,1214.04430385163,1139.61080400838,1148.09883638225,1159.16234700209,1085.67341049965,1075.1903237075,1083.22385315157,1128.8439359964,1159.16234700209,1186.59783003202,1107.53160929207,1020.72780953363,1083.21360380868
5,1240.26822834311,1977.40076688814,1960.65891938443,1404.29613823303,1851.17098309929,1240.26822834311,1191.00812029524,1088.67238845908,1131.96447168209,1442.54460206722,1240.26822834311,1709.46155733212,1708.8610786927,1507.73509385761,1510.10266023268,1240.26822834311,891.126968211895,1689.36847405724,1229.21179672121,1220.68007700384,1240.26822834311,1434.12385271296,1469.11760382471,1237.73496204351,1758.9332103511,1240.26822834311,1255.53392167678,1583.5061253651,1223.15340018662,1196.86016481475,1240.26822834311,1209.81521358284,1003.61163056354,1086.93243811285,1727.83206094305,1240.26822834311,1335.27056240543,1611.08291988083,1935.7176143295,1869.41137062135,1240.26822834311,1262.18634166149,1294.5852197849,825.764287025377,1035.92295370238
6,4575.52384809878,4716.39808930747,4555.03930128118,4608.98565438898,4537.39347235644,4575.52384809878,4848.94992182107,4642.29980112619,4803.40882638897,4728.16921003072,4575.52384809878,4298.30807754113,4671.10668395897,4736.43195671174,4669.97625876883,4575.52384809878,4706.39283586665,4510.28130187786,4672.26386358853,4558.97666296714,4575.52384809878,4668.88138374837,4812.40013568226,4815.6707056645,4604.4920103547,4575.52384809878,4900.66723315431,4556.30485679099,4758.87248608926,4610.80294609599,4575.52384809878,4612.23047658007,4593.83916931963,4723.59047411623,4894.91466457196,4575.52384809878,4743.02578916092,4636.83820382658,4536.4900996398,4660.41229808683,4575.52384809878,4655.76594339844,4541.32147729455,4575.51862345462,4527.65905455296
7,2111.17820043368,1926.31990785695,2391.02298102415,1956.47997875444,2708.3205967989,2111.17820043368,2139.60715666991,1918.5862378661,2037.67505001765,2253.65316810962,2111.17820043368,1884.10106786803,2523.92995621072,2299.92631652969,2159.76342584201,2111.17820043368,1850.30130308263,2356.25549972742,1743.40997422581,2024.42776581356,2111.17820043368,2196.62298283236,2169.95518571973,2347.05515606601,2456.75191472504,2111.17820043368,1958.7913952818,2402.74803364416,2488.2928203579,2190.11271365164,2111.17820043368,2337.88472847448,1966.40900608095,2283.56282938833,2472.65907172978,2111.17820043368,2213.70747213431,2310.86968322457,2074.88858816511,2589.6448161854,2111.17820043368,2047.42485584569,2550.09263495806,2422.30779768213,2164.16031444342
8,3834.43919789563,3971.68654729899,4011.77039000455,3710.60699686813,4010.86203640097,3834.43919789563,3902.08775038819,3832.8869109619,3868.74914259684,3880.43513192588,3834.43919789563,3669.71332479765,4074.32793723166,3953.31424472352,3800.59191796459,3834.43919789563,3736.21748692346,3887.60951123922,3748.3297179886,3775.18747935873,3834.43919789563,3842.7158739243,3901.16755430745,3852.40818218588,3973.29512575562,3834.43919789563,3904.01517711954,3946.17458017127,3889.76788982587,3858.16070299528,3834.43919789563,3842.13090060575,3749.18631368643,3809.19847057482,4016.27603922759,3834.43919789563,3908.11648828452,3958.42205134531,3857.7950627737,3991.0703203712,3834.43919789563,3896.27093546223,3856.91614079989,3746.11473139212,3744.51609297953
9,3844.57893247119,3958.05142498437,4045.81042892985,3798.25077223071,4092.305807991,3844.57893247119,3931.43364478811,3815.45177295034,3878.33373104677,3952.70096021387,3844.57893247119,3780.16308205651,4088.19243659335,3990.86403001053,3906.0733362091,3844.57893247119,3756.33164572158,3963.54635468514,3749.28595439497,3809.49170166172,3844.57893247119,3912.13564151809,3941.48303390137,3938.30411674523,4037.45549656059,3844.57893247119,3903.19678467588,3995.95355803474,3971.45317956249,3889.59710944126,3844.57893247119,3909.60132206948,3787.71950819651,3881.05736802064,4089.22754083292,3844.57893247119,3933.48768218996,3992.84551311134,3928.49023232428,4078.85764043581,3844.57893247119,3876.7292314679,3937.65227347409,3840.24450456318,3810.41853813794
10,3964.34036981343,4069.79848245406,4166.19670723888,3907.86061354311,4201.87077992383,3964.34036981343,4044.47687316854,3918.4188990395,3992.23813416271,4064.68300060571,3964.34036981343,3889.33842749708,4209.04479113103,4103.36966960763,4008.94482680314,3964.34036981343,3865.00468756073,4069.30935059109,3857.03183378474,3928.12014886523,3964.34036981343,4035.50194826539,4055.77743641366,4054.82539734292,4145.60743414052,3964.34036981343,4015.5531468949,4097.14122441773,4083.28108871732,4007.46873382632,3964.34036981343,4021.10422991928,3889.48926115441,3993.07031934948,4212.29139273217,3964.34036981343,4051.0878081039,4105.03259626248,4044.99849933869,4198.09918604596,3964.34036981343,3983.14091858407,4053.47977234768,3947.31851899615,3923.69867365029
