"t","Exp1Run1","Exp1Run2","Exp1Run3","Exp1Run4","Exp1Run5","Exp2Run1","Exp2Run2","Exp2Run3","Exp2Run4","Exp2Run5","Exp3Run1","Exp3Run2","Exp3Run3","Exp3Run4","Exp3Run5","Exp4Run1","Exp4Run2","Exp4Run3","Exp4Run4","Exp4Run5","Exp5Run1","Exp5Run2","Exp5Run3","Exp5Run4","Exp5Run5","Exp6Run1","Exp6Run2","Exp6Run3","Exp6Run4","Exp6Run5","Exp7Run1","Exp7Run2","Exp7Run3","Exp7Run4","Exp7Run5","Exp8Run1","Exp8Run2","Exp8Run3","Exp8Run4","Exp8Run5","Exp9Run1","Exp9Run2","Exp9Run3","Exp9Run4","Exp9Run5"
1,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
2,0.07275,0.0736250000000001,0.07325,0.073375,0.07325,0.07275,0.073125,0.0725,0.073375,0.07275,0.07275,0.0735,0.0725,0.0736250000000001,0.073125,0.07275,0.073375,0.074,0.07325,0.07325,0.07275,0.07325,0.072375,0.073125,0.073,0.07275,0.073125,0.073,0.073875,0.073,0.07275,0.073375,0.072375,0.074375,0.07275,0.07275,0.07325,0.073125,0.07375,0.073125,0.07275,0.073125,0.072875,0.07275,0.072875
3,0.072125,0.071625,0.072875,0.0715,0.071875,0.072125,0.071875,0.07275,0.072875,0.072375,0.072125,0.071875,0.073,0.071625,0.072,0.072125,0.072,0.071125,0.071375,0.0726250000000001,0.072125,0.071625,0.07275,0.07175,0.072125,0.072125,0.072,0.072375,0.071125,0.0715,0.072125,0.0725,0.07375,0.0715,0.072125,0.072125,0.0715,0.07225,0.072125,0.0715,0.072125,0.07225,0.07225,0.072,0.071125
4,0.275375,0.277,0.27625,0.278625,0.27675,0.275375,0.278375,0.275625,0.276875,0.276625,0.275375,0.275875,0.274125,0.27575,0.27475,0.275375,0.27675,0.27675,0.277,0.2765,0.275375,0.275375,0.276875,0.277,0.276125,0.275375,0.276375,0.27525,0.27775,0.276125,0.275375,0.277375,0.274375,0.2765,0.278,0.275375,0.276625,0.276875,0.2755,0.2775,0.275375,0.275625,0.277625,0.277875,0.277125
5,0.519125,0.47775,0.4745,0.526625,0.476625,0.519125,0.517,0.5425,0.54775,0.502875,0.519125,0.504875,0.48225,0.509375,0.5285,0.519125,0.55425,0.48625,0.531375,0.536875,0.519125,0.512,0.51,0.517875,0.496375,0.519125,0.518125,0.49975,0.528875,0.533875,0.519125,0.5315,0.523375,0.528625,0.4905,0.519125,0.52125,0.519125,0.478,0.490125,0.519125,0.4995,0.519875,0.563875,0.541375
6,0.303875,0.26725,0.268875,0.29975,0.28475,0.303875,0.29375,0.29225,0.306125,0.299375,0.303875,0.3085,0.27825,0.288875,0.29375,0.303875,0.315125,0.29025,0.302375,0.30125,0.303875,0.298,0.298,0.28875,0.293625,0.303875,0.2865,0.309125,0.30275,0.3025,0.303875,0.30275,0.3085,0.298125,0.28525,0.303875,0.309375,0.285875,0.281625,0.31575,0.303875,0.301125,0.303875,0.309625,0.330125
7,0.350625,0.345375,0.321125,0.36425,0.318875,0.350625,0.344625,0.350125,0.359,0.34975,0.350625,0.37475,0.32325,0.3395,0.349875,0.350625,0.378125,0.335375,0.37275,0.36425,0.350625,0.352125,0.35025,0.3305,0.33775,0.350625,0.34725,0.349875,0.33725,0.35,0.350625,0.34225,0.358625,0.3385,0.329875,0.350625,0.35375,0.3375,0.3435,0.349875,0.350625,0.356125,0.336875,0.341,0.370625
8,0.255,0.273125,0.253375,0.274875,0.247875,0.255,0.257375,0.250625,0.255375,0.27025,0.255,0.301375,0.254375,0.248875,0.261625,0.255,0.267875,0.27125,0.293375,0.26725,0.255,0.26175,0.258125,0.253,0.2495,0.255,0.26275,0.249,0.248125,0.26675,0.255,0.2455,0.27875,0.251125,0.247875,0.255,0.2755,0.243625,0.276125,0.23625,0.255,0.273875,0.2495,0.241625,0.258125
9,0.172375,0.190125,0.201375,0.184,0.194375,0.172375,0.1775,0.17675,0.17575,0.19075,0.172375,0.188875,0.194875,0.173875,0.172875,0.172375,0.183875,0.197625,0.196625,0.1825,0.172375,0.18525,0.171875,0.187375,0.170625,0.172375,0.18675,0.18625,0.167,0.185125,0.172375,0.1845,0.192,0.1765,0.181125,0.172375,0.176625,0.178,0.20225,0.165625,0.172375,0.19475,0.1815,0.17225,0.181125
10,0.156625,0.155375,0.178875,0.165,0.16575,0.156625,0.156,0.156375,0.1615,0.160625,0.156625,0.172125,0.161,0.1515,0.157875,0.156625,0.169625,0.168625,0.17275,0.163875,0.156625,0.15825,0.155625,0.154125,0.15075,0.156625,0.1585,0.156,0.15275,0.162,0.156625,0.157125,0.16675,0.155625,0.152875,0.156625,0.162125,0.151875,0.1595,0.149875,0.156625,0.163375,0.15425,0.1585,0.16675
11,0.14375,0.143,0.1565,0.153,0.15125,0.14375,0.141625,0.144625,0.14825,0.146625,0.14375,0.16,0.145,0.139375,0.146125,0.14375,0.15625,0.152125,0.15925,0.152375,0.14375,0.1445,0.14175,0.145375,0.137125,0.14375,0.146,0.141125,0.13775,0.14925,0.14375,0.142125,0.1525,0.14275,0.140875,0.14375,0.147875,0.1385,0.146125,0.135125,0.14375,0.150625,0.141125,0.14575,0.15425
12,0.132,0.1305,0.1505,0.142625,0.140625,0.132,0.12975,0.1355,0.137375,0.136,0.132,0.150875,0.128,0.13625,0.13375,0.132,0.146,0.143375,0.148875,0.142625,0.132,0.134,0.131125,0.142125,0.125375,0.132,0.133125,0.13725,0.127125,0.13625,0.132,0.130125,0.142125,0.131875,0.124375,0.132,0.13475,0.128,0.134625,0.120625,0.132,0.140375,0.128875,0.135,0.143625
13,0.124375,0.12775,0.135125,0.13475,0.129375,0.124375,0.119625,0.130875,0.12725,0.124,0.124375,0.142375,0.128125,0.12475,0.125,0.124375,0.14,0.12875,0.139625,0.135125,0.124375,0.12575,0.12125,0.12775,0.115875,0.124375,0.125625,0.13375,0.1185,0.128125,0.124375,0.123375,0.1335,0.12475,0.113625,0.124375,0.124125,0.116875,0.12375,0.111,0.124375,0.13025,0.124875,0.1275,0.13675
14,0.11975,0.129875,0.127875,0.130875,0.124875,0.11975,0.114125,0.125875,0.122,0.118375,0.11975,0.136,0.1135,0.12075,0.122125,0.11975,0.13225,0.123125,0.134625,0.13,0.11975,0.11875,0.11475,0.121375,0.10925,0.11975,0.11925,0.129625,0.111125,0.121125,0.11975,0.11925,0.126375,0.11925,0.1055,0.11975,0.11575,0.110875,0.1175,0.108375,0.11975,0.122375,0.115,0.125875,0.129125
